Name,Value(The authors cited by this author and the number of citations)
Ananda Rao,"{'Nikolaos Tsantalis': 1, 'Related Work': 1, 'Jiawei Han': 1, 'AAnanda Rao': 1, 'Marios Fokaefs': 1, 'Proposed Approach': 1, 'Experimental Results': 1, 'Tom Tourwe': 1, 'Tom Mens': 1, 'KNarendar Reddy': 1}"
Narendar Reddy,"{'Nikolaos Tsantalis': 1, 'Related Work': 1, 'Jiawei Han': 1, 'AAnanda Rao': 1, 'Marios Fokaefs': 1, 'Proposed Approach': 1, 'Experimental Results': 1, 'Tom Tourwe': 1, 'Tom Mens': 1, 'KNarendar Reddy': 1}"
Czech Republic,"{'Albert Atserias': 1, 'Eli BenSasson': 1, 'Nimrod Megiddo': 1, 'Jan Kraj?¡¦cek': 1}"
Grigore STAMATESCU,"{'Grigore Stamatescu': 1, 'SHTX Humidity': 1, 'Valentin Sgarciu': 1, 'Crossbow Inc': 1, 'National Instruments': 1, 'System Overview': 1}"
Valentin SG?RCIU,"{'Grigore Stamatescu': 1, 'SHTX Humidity': 1, 'Valentin Sgarciu': 1, 'Crossbow Inc': 1, 'National Instruments': 1, 'System Overview': 1}"
Alan Turing,"{'Daniel Lacombe': 1, 'Hartley Rogers': 1, 'Kurt Godel': 1, 'Konrad Zuse': 1, 'Robert Rosen': 1, 'Stephen Wolfram': 1, 'Roger Penrose': 1, 'Edward Fredkin': 1}"
Abdur Shahid,{'GY Yang': 1}
Shahriar Badsha,{'GY Yang': 1}
Rethwan Kabeer,{'GY Yang': 1}
Junaid Ahsan,{'GY Yang': 1}
Mufti Mahmud,{'GY Yang': 1}
Dragan Vidakovic,"{'Don Johnson': 1, 'Scott Vanstone': 1, 'Alfred Menezes': 1}"
Olivera Nikolic,"{'Don Johnson': 1, 'Scott Vanstone': 1, 'Alfred Menezes': 1}"
Nitin Rakesh,"{'PK Jana': 1, 'Nitin Rakesh': 1, 'BP Sinha': 1, 'SY Li': 1}"
Friedrich Slivovsky,"{'Georg Gottlob': 1, 'Sebastian Ordyniak': 1, 'Naomi Nishimura': 1, 'Fahiem Bacchus': 1, 'Friedrich Slivovsky': 1, 'Tian Sang': 1, 'Paul Beame': 1, 'AAAI Press': 1, 'Marko Samer': 1, 'Serge Gaspers': 1, 'Prabhakar Ragde': 1, 'Petr Hlin¡¦eny': 1, 'BinhMinh BuiXuan': 1, 'Dan Roth': 1, 'Petr Hlineny': 1, 'Robert Ganian': 1, 'Shannon Dalmao': 1, 'Daniel Paulusma': 1}"
