Name,Value(The authors cited by this author and the number of citations)
Md Shajalal,"{'Amit Dhurandhar': 1, 'Ece Kamar': 1, 'Lenneke Kuijer': 1, 'Henrik Mucha': 1, 'Md Shajalal': 3, 'Roc?o Escandon': 1, 'Yao Rong': 1, 'Wendy Mackay': 1, 'Yolande Strengers': 1, 'Philipp Wintersberger': 1, 'Corinna Ogonowski': 1, 'Sandra Wachter': 1, 'Rajiv Khanna': 1, 'Tayeb Lemlouma': 1, 'Natalia D?azRodr?guez': 1, 'Amit Sharma': 1, 'Fabrizio Ascione': 1, 'Sofia Yfanti': 1, 'Nan Gao': 1, 'Tobias Leemann': 1, 'Wei Shao': 1, 'Narine Kokhlikyan': 1, 'Lina Stankovic': 1, 'Michael Cogswell': 1, 'Veronique Vasseur': 1, 'Malin Eiband': 1, 'Nico Castelli': 1, 'Stefano Schiavon': 1, 'Nasim Eslamirad': 1, 'Vitaly Schetinin': 1, 'Mike Shann': 1, 'Ian SolanoKamaiko': 1, 'Gunnar Stevens': 1, 'Anirudh Sriram': 1, 'Andrew Bell': 1, 'Sebastian Robert': 1, 'Xinru Wang': 1, 'Been Kim': 1, 'Aniruddh Chennapragada': 1, 'Brent Mittelstadt': 1, 'Milad Bohlouli': 1, 'Vivek Miglani': 1, 'Alper Alan': 1, 'Tobias Schwartz': 1, 'International Foundation': 1, 'Nivethitha Somu': 1, 'Adrian Chong': 1, 'Markus Rohde': 1, 'Zheng Ma': 1, 'Michael Chromik': 1, 'Gregoire Montavon': 1, 'Haider Mshali': 1, 'Peter Hase': 1, 'Ashraf Abdul': 1, 'Sebastian Denef': 1, 'Jakob Nielsen': 1, 'Peter Brodner': 1, 'Matias Quintana': 1, 'Vijay Arya': 1, 'JinYoung Kim': 1, 'Forough PoursabziSangdeh': 1, 'AnneFrancoise Marique': 1, 'Upol Ehsan': 1, 'Gagan Bansal': 1, 'Alexander Boden': 2, 'Peyton Greenside': 2, 'Hilary Hutchinson': 1, 'Tanhim Islam': 1, 'Timo Jakobi': 1, 'Himabindu Lakkaraju': 1, 'David Murray': 1, 'Divya Periyakoil': 1, 'Alexander Binder': 2, 'Vladimir Stankovic': 1, 'Avanti Shrikumar': 2, 'Tongshuang Wu': 1, 'Sameer Singh': 2, 'Victor Sanh': 1, 'Quoc Le': 1, 'Mengzhen Luo': 1, 'Shuangyin Li': 1, 'Shaobo Li': 1, 'Ilya Sutskever': 1, 'Zihang Dai': 1, 'Jafar Afshar': 1, 'MinhThang Luong': 1, 'Lysandre Debut': 1, 'Kevin Clark': 1, 'Vasileios Stamatis': 1, 'Piotr Bojanowski': 1, 'Edouard Grave': 1, 'Suan Lee': 1, 'Yinhan Liu': 1, 'Jacob Devlin': 1, 'Gr¨¦goire Montavon': 1, 'Jie Hu': 1, 'Tomas Mikolov': 1, 'Suzan Verberne': 1, 'Liang Chen': 1, 'Sebastian Bach': 1, 'Huahang Li': 1, 'Xiaoyu Shi': 1, 'Hamid Bekamiri': 1, 'Myle Ott': 1, 'Carlos Guestrin': 1, 'Leila Arras': 1, 'Michal Kucer': 1, 'Biswajeet Pradhan': 1, 'Marawan Shalaby': 1, 'Jan Stutzki': 1, 'Myungchul Kang': 1, 'Eleni Kamateri': 1, 'Amina Adadi': 1, 'JiehSheng Lee': 1, 'Richard Socher': 1, 'Le Zhang': 1, 'Lintao Fang': 1, 'Guang Yang': 1, 'Eva Sharma': 1, 'Jeffrey Pennington': 1, 'Diane Oyen': 1, 'Eva Dhondt': 1, 'Shuo Xu': 1, 'Shuo Jiang': 1, 'Zhilin Yang': 1, 'MingWei Chang': 1, 'Chen Li': 1, 'Franziska Horn': 1, 'Jason Angel': 1, 'Qinghao Ye': 1, 'Annemarie Friedrich': 1, 'Luisa Bentivogli': 1, 'Raffaella Bernardi': 1, 'Md Atabuzzaman': 1, 'In TAC': 1, 'Nada Almarwani': 1, 'Swapnil Ghuge': 1, 'Gabor Angeli': 1, 'Maofu Liu': 1, 'Alexis Conneau': 1, 'Stefano Menini': 1, 'Taylor Shin': 1, 'Luming Zhang': 1, 'Marco Marelli': 1, 'Bernardo Magnini': 1, 'Yukun Zhu': 1, 'Yasaman Razeghi': 1, 'Aarthi Paramasivam': 1, 'Danilo Giampiccolo': 1, 'Sara Renjit': 1, 'Ryan Kiros': 1, 'Douwe Kiela': 1, 'Sivaji Bandyopadhyay': 1, 'Peter Clark': 1, 'Partha Pakray': 1}"
Markus Wei?flog,"{'De Lange': 1, 'Compression Strategy': 1, 'MultiModal Mapping': 1}"
Peter Protzel,"{'De Lange': 1, 'Compression Strategy': 1}"
Chenhao Xu,{'Van Wijk': 1}
Yudian Zhang,{'Van Wijk': 1}
Kaiye Xu,{'Van Wijk': 1}
Haijiang Zhu,{'Van Wijk': 1}
Paris Dauphine,"{'Stefana Anita': 1, 'Curran As': 1, 'CL Wight': 1, 'New York': 1, 'Curran Associates': 3, 'The DCMQ': 1, 'Vector Quantized': 1, 'Publisher Taylor': 1, 'Digital Communications': 1}"
Orchestrated CoScheduling,"{'CUDA Version': 1, 'Problem Overview': 1, 'Partitioning Setups': 1, 'The Xaxis': 1, 'Power Cap': 1, 'Training Setups': 1}"
Haozhang Li,"{'Internet Society': 1, 'Curran Associates': 1}"
Yangde Wang,"{'Internet Society': 1, 'Curran Associates': 1}"
Management Engineering,"{'AAAI Press': 1, 'De Giacomo': 1}"
AJ Nijmegen,"{'GSYM REALADDASSOC': 1, 'Panagiotis Manolios': 1, 'Sam Owre': 1, 'ACM Press': 1, 'Cezary Kaliszyk': 1, 'Markus Wenzel': 1, 'Adam Grabowski': 1, 'Larry Paulson': 1, 'Assia Mahboubi': 1, 'Georges Gonthier': 1, 'Paul Cairns': 1, 'Conor McBride': 1, 'Tom Melham': 1, 'Michael Huth': 1, 'Hermes Science': 1, 'Matt Kaufmann': 1, 'Henk Barendregt': 1, 'Tobias Nipkow': 1, 'Achte Au?age': 1, 'Mike Gordon': 1, 'Andrea Asperti': 1, 'Freek Wiedijk': 1, 'Th Anderson': 1, 'Christine PaulinMohring': 1}"
Uniwersytetu Pozna,"{'Online Avail': 1, 'San Francisco': 1, 'Online Available': 1}"
Stefan Schubert,{'MultiModal Mapping': 1}
Sara Pohland,"{'KR M¨¹ller': 1, 'PT Jiang': 1, 'CL Li': 1, 'YC Hsu': 1, 'Guided GradCAM': 1, 'SI Lee': 1, 'CB Zhang': 1, 'Yarin Gal': 1, 'CK Yeh': 1, 'MM Cheng': 1}"
Claire Tomlin,"{'KR M¨¹ller': 1, 'PT Jiang': 1, 'CL Li': 1, 'YC Hsu': 1, 'Guided GradCAM': 1, 'SI Lee': 1, 'CB Zhang': 1, 'Yarin Gal': 1, 'CK Yeh': 1, 'MM Cheng': 1}"
Mateusz Lango,"{'Amit Dhurandhar': 1, 'Algorithms WileyInterscience': 1, 'MarieJeanne Lesot': 1, 'SS Iyengar': 1, 'Thibault Laugel': 1, 'Umang Bhatt': 1, 'Jonathan Moore': 1, 'Peyman Rasouli': 1, 'Matt ChapmanRounds': 1, 'Nina Spreitzer': 1, 'Riccardo Guidotti': 1, 'Gabriele Tolomei': 1, 'Fabrizio Silvestri': 1, 'Kacper Sokol': 1, 'Janis Klaise': 1, 'Aditi Seshadri': 1, 'Rafael Poyiadzi': 1, 'Alexander Spangher': 1, 'Philipp H¨¹hn': 1, 'Wydawnictwo Politechniki': 1, 'Berk Ustun': 1, 'PinYu Chen': 1, 'Hinda Haned': 1, 'Maximilian F?rster': 1, 'Kalyanmoy Branke': 1, 'Amit Sharma': 1, 'Martin Pawelczyk': 1, 'Sascha Bielawski': 1, 'Springer Science': 1, 'Nils Hammerla': 1}"
Global Course,"{'DS Goldstein': 1, 'JW Pellegrino': 1, 'Michael Yen': 1, 'David Liu': 1, 'Ilya Vlasov': 1, 'Stephen Nutbrown': 1, 'Juliette Woodrow': 1, 'Hieke Keuning': 1, 'Gustaf Neumann': 1, 'Robert Green': 1, 'Shawnee Wakeman': 1, 'Johan Jeuring': 1, 'Charis Charitsis': 1, 'Thomas Jefferson': 1, 'Bastiaan Heeren': 1, 'Thorsten Haendler': 1, 'Imre Zsigmond': 1, 'Brian Hays': 1, 'Lyla Fischer': 1, 'Nupur Garg': 1, 'Jan Derriks': 1, 'Tomche Delev': 1, 'Christopher Piech': 1, 'Chris Gregg': 1, 'Chris Piech': 1, 'Rowan Hart': 1, 'Ali Malik': 1, 'Kathryn Haughney': 1, 'Anastasiia Birillo': 1, 'Miltiadis Allamanis': 1}"
Dmytro Shvetsov,{'FC Explanation': 1}
Joonas Ariva,{'FC Explanation': 1}
Kaiqi Yang,{'GPT Turbo': 1}
Yucheng Chu,{'GPT Turbo': 1}
Taylor Darwin,{'GPT Turbo': 1}
Ahreum Han,{'GPT Turbo': 1}
Hang Li,{'GPT Turbo': 1}
Gulsum Yigit,"{'CR Understanding': 1, 'If Mildred': 1}"
Sof¨ªa RamosPulido,"{'Google ColaboratoryBerkeley': 1, 'Computer Science': 1, 'KH Chang': 1, 'Real Data': 1, 'Synthetic Data': 1, 'YC Chang': 1, 'GJ Wu': 1}"
Neil Hern¨¢ndezGress,"{'Google ColaboratoryBerkeley': 1, 'Computer Science': 1, 'KH Chang': 1, 'Real Data': 1, 'Synthetic Data': 1, 'YC Chang': 1, 'GJ Wu': 1}"
Cristian Ram,{'Van Zee': 1}
Richin Sukesh,{'Monteiro Silva': 1}
Mathias Seuret,"{'Monteiro Silva': 1, 'Curran Associates': 1, 'Soviet Union': 1}"
Daniel Zentai,{'Marques JF': 1}
Mihail Plesa,{'Marques JF': 1}
Robin Frot,{'Marques JF': 1}
Bal¨¢zs Andr¨¢s,"{'AJ Aljohani': 1, 'PH Lee': 1, 'CA Silva': 1, 'WR Yang': 1, 'BN J?rgensen': 1, 'AM Sudoso': 1}"
Bo N?rregaard,"{'AJ Aljohani': 1, 'PH Lee': 1, 'CA Silva': 1, 'WR Yang': 1, 'BN J?rgensen': 1, 'AM Sudoso': 1}"
Zheng Grace,"{'AJ Aljohani': 1, 'PH Lee': 1, 'CA Silva': 1, 'WR Yang': 1, 'BN J?rgensen': 1, 'AM Sudoso': 1}"
Huan Huo,"{'MR Multiplier': 1, 'Fourier ParameterMFCCs': 1}"
Guandong Xu,"{'MR Multiplier': 1, 'Fourier ParameterMFCCs': 1}"
Franco Ronchetti,"{'EJ Ong': 1, 'Paraguay October': 1}"
Facundo Quiroga,"{'EJ Ong': 1, 'Paraguay October': 1}"
C¨¦sar Estrebou,"{'EJ Ong': 1, 'Paraguay October': 1}"
Laura Lanzarini,"{'EJ Ong': 1, 'Paraguay October': 1}"
Arkady Fedorov,"{'Data Generation': 1, 'Physics Springer': 1, 'New York': 1, 'Springer US': 1, 'In Section': 1, 'Plenum Press': 1, 'Testing Incomputability': 1, 'Birkh?user Boston': 1}"
Anatoly Kulikov,"{'Data Generation': 1, 'Physics Springer': 1, 'New York': 1, 'Springer US': 1, 'In Section': 1, 'Plenum Press': 1, 'Testing Incomputability': 1, 'Birkh?user Boston': 1}"
Rohit Navarathna,"{'Data Generation': 1, 'Physics Springer': 1, 'New York': 1, 'Springer US': 1, 'In Section': 1, 'Plenum Press': 1, 'Testing Incomputability': 1, 'Birkh?user Boston': 1}"
Karl Svozil,"{'Data Generation': 1, 'Physics Springer': 1, 'New York': 1, 'Springer US': 1, 'In Section': 1, 'Plenum Press': 1, 'Testing Incomputability': 1, 'Birkh?user Boston': 1}"
Rafael TolosanaCalasanza,"{ 'SY Kung': 1, 'HH Lee': 1}"
Angel Ba,"{ 'SY Kung': 1, 'HH Lee': 1}"
Manuel Coloma,"{ 'SY Kung': 1, 'HH Lee': 1}"
Oscar Garc¨ªa,"{'Shoaib MR': 1, 'Cho HH': 1}"
Sebastian Denef,"{'Victor Sanh': 1, 'Quoc Le': 1, 'Mengzhen Luo': 1, 'Shuangyin Li': 1, 'Shaobo Li': 1, 'Ilya Sutskever': 1, 'Zihang Dai': 1, 'Jafar Afshar': 1, 'Alexander Boden': 1, 'MinhThang Luong': 1, 'Peyton Greenside': 1, 'Lysandre Debut': 1, 'Kevin Clark': 1, 'Vasileios Stamatis': 1, 'Piotr Bojanowski': 1, 'Edouard Grave': 1, 'Md Shajalal': 1, 'Suan Lee': 1, 'Yinhan Liu': 1, 'Jacob Devlin': 1, 'Gr¨¦goire Montavon': 1, 'Jie Hu': 1, 'Tomas Mikolov': 1, 'Suzan Verberne': 1, 'Liang Chen': 1, 'Sebastian Bach': 1, 'Huahang Li': 1, 'Xiaoyu Shi': 1, 'Hamid Bekamiri': 1, 'Myle Ott': 1, 'Carlos Guestrin': 1, 'Leila Arras': 1, 'Michal Kucer': 1, 'Biswajeet Pradhan': 1, 'Marawan Shalaby': 1, 'Jan Stutzki': 1, 'Myungchul Kang': 1, 'Eleni Kamateri': 1, 'Amina Adadi': 1, 'JiehSheng Lee': 1, 'Richard Socher': 1, 'Le Zhang': 1, 'Lintao Fang': 1, 'Guang Yang': 1, 'Eva Sharma': 1, 'Jeffrey Pennington': 1, 'Diane Oyen': 1, 'Alexander Binder': 1, 'Eva Dhondt': 1, 'Shuo Xu': 1, 'Shuo Jiang': 1, 'Zhilin Yang': 1, 'MingWei Chang': 1, 'Chen Li': 1, 'Avanti Shrikumar': 1, 'Sameer Singh': 1, 'Franziska Horn': 1, 'Jason Angel': 1, 'Qinghao Ye': 1, 'Annemarie Friedrich': 1}"
Rezaul Karim,"{'Victor Sanh': 1, 'Quoc Le': 1, 'Mengzhen Luo': 1, 'Shuangyin Li': 1, 'Shaobo Li': 1, 'Ilya Sutskever': 1, 'Zihang Dai': 1, 'Jafar Afshar': 1, 'Alexander Boden': 1, 'MinhThang Luong': 1, 'Peyton Greenside': 1, 'Lysandre Debut': 1, 'Kevin Clark': 1, 'Vasileios Stamatis': 1, 'Piotr Bojanowski': 1, 'Edouard Grave': 1, 'Md Shajalal': 1, 'Suan Lee': 1, 'Yinhan Liu': 1, 'Jacob Devlin': 1, 'Gr¨¦goire Montavon': 1, 'Jie Hu': 1, 'Tomas Mikolov': 1, 'Suzan Verberne': 1, 'Liang Chen': 1, 'Sebastian Bach': 1, 'Huahang Li': 1, 'Xiaoyu Shi': 1, 'Hamid Bekamiri': 1, 'Myle Ott': 1, 'Carlos Guestrin': 1, 'Leila Arras': 1, 'Michal Kucer': 1, 'Biswajeet Pradhan': 1, 'Marawan Shalaby': 1, 'Jan Stutzki': 1, 'Myungchul Kang': 1, 'Eleni Kamateri': 1, 'Amina Adadi': 1, 'JiehSheng Lee': 1, 'Richard Socher': 1, 'Le Zhang': 1, 'Lintao Fang': 1, 'Guang Yang': 1, 'Eva Sharma': 1, 'Jeffrey Pennington': 1, 'Diane Oyen': 1, 'Alexander Binder': 1, 'Eva Dhondt': 1, 'Shuo Xu': 1, 'Shuo Jiang': 1, 'Zhilin Yang': 1, 'MingWei Chang': 1, 'Chen Li': 1, 'Avanti Shrikumar': 1, 'Sameer Singh': 1, 'Franziska Horn': 1, 'Jason Angel': 1, 'Qinghao Ye': 1, 'Annemarie Friedrich': 1}"
Alexander Boden,"{'Victor Sanh': 1, 'Quoc Le': 1, 'Mengzhen Luo': 1, 'Shuangyin Li': 1, 'Shaobo Li': 1, 'Ilya Sutskever': 1, 'Zihang Dai': 1, 'Jafar Afshar': 1, 'Alexander Boden': 1, 'MinhThang Luong': 1, 'Peyton Greenside': 1, 'Lysandre Debut': 1, 'Kevin Clark': 1, 'Vasileios Stamatis': 1, 'Piotr Bojanowski': 1, 'Edouard Grave': 1, 'Md Shajalal': 1, 'Suan Lee': 1, 'Yinhan Liu': 1, 'Jacob Devlin': 1, 'Gr¨¦goire Montavon': 1, 'Jie Hu': 1, 'Tomas Mikolov': 1, 'Suzan Verberne': 1, 'Liang Chen': 1, 'Sebastian Bach': 1, 'Huahang Li': 1, 'Xiaoyu Shi': 1, 'Hamid Bekamiri': 1, 'Myle Ott': 1, 'Carlos Guestrin': 1, 'Leila Arras': 1, 'Michal Kucer': 1, 'Biswajeet Pradhan': 1, 'Marawan Shalaby': 1, 'Jan Stutzki': 1, 'Myungchul Kang': 1, 'Eleni Kamateri': 1, 'Amina Adadi': 1, 'JiehSheng Lee': 1, 'Richard Socher': 1, 'Le Zhang': 1, 'Lintao Fang': 1, 'Guang Yang': 1, 'Eva Sharma': 1, 'Jeffrey Pennington': 1, 'Diane Oyen': 1, 'Alexander Binder': 1, 'Eva Dhondt': 1, 'Shuo Xu': 1, 'Shuo Jiang': 1, 'Zhilin Yang': 1, 'MingWei Chang': 1, 'Chen Li': 1, 'Avanti Shrikumar': 1, 'Sameer Singh': 1, 'Franziska Horn': 1, 'Jason Angel': 1, 'Qinghao Ye': 1, 'Annemarie Friedrich': 1}"
Gunnar Stevens,"{'Victor Sanh': 1, 'Quoc Le': 1, 'Mengzhen Luo': 1, 'Shuangyin Li': 1, 'Shaobo Li': 1, 'Ilya Sutskever': 1, 'Zihang Dai': 1, 'Jafar Afshar': 1, 'Alexander Boden': 1, 'MinhThang Luong': 1, 'Peyton Greenside': 1, 'Lysandre Debut': 1, 'Kevin Clark': 1, 'Vasileios Stamatis': 1, 'Piotr Bojanowski': 1, 'Edouard Grave': 1, 'Md Shajalal': 1, 'Suan Lee': 1, 'Yinhan Liu': 1, 'Jacob Devlin': 1, 'Gr¨¦goire Montavon': 1, 'Jie Hu': 1, 'Tomas Mikolov': 1, 'Suzan Verberne': 1, 'Liang Chen': 1, 'Sebastian Bach': 1, 'Huahang Li': 1, 'Xiaoyu Shi': 1, 'Hamid Bekamiri': 1, 'Myle Ott': 1, 'Carlos Guestrin': 1, 'Leila Arras': 1, 'Michal Kucer': 1, 'Biswajeet Pradhan': 1, 'Marawan Shalaby': 1, 'Jan Stutzki': 1, 'Myungchul Kang': 1, 'Eleni Kamateri': 1, 'Amina Adadi': 1, 'JiehSheng Lee': 1, 'Richard Socher': 1, 'Le Zhang': 1, 'Lintao Fang': 1, 'Guang Yang': 1, 'Eva Sharma': 1, 'Jeffrey Pennington': 1, 'Diane Oyen': 1, 'Alexander Binder': 1, 'Eva Dhondt': 1, 'Shuo Xu': 1, 'Shuo Jiang': 1, 'Zhilin Yang': 1, 'MingWei Chang': 1, 'Chen Li': 1, 'Avanti Shrikumar': 1, 'Sameer Singh': 1, 'Franziska Horn': 1, 'Jason Angel': 1, 'Qinghao Ye': 1, 'Annemarie Friedrich': 1}"
Jaromir Savelka,{'HT Nguyen': 1}
Hannes Westermann,{'HT Nguyen': 1}
Huihui Xu,{'HT Nguyen': 1}
Wei Zhang,"{'Yongwei Miao': 1, 'SongHai Zhang': 1, 'Shuai Yang': 1, 'Chi Liu': 1, 'Jiachuan Sheng': 1, 'Qianqian Gu': 1, 'Jengsheng Yeh': 1, 'Qing Zhang': 1, 'Qinglian Guo': 1, 'Ilya Sutskever': 1, 'Wiley Online': 1, 'Alex Krizhevsky': 1, 'TsungYi Lin': 1, 'Cristina Amati': 1, 'Human In': 1, 'Jie Xu': 1, 'Yunfei Fu': 1, 'Dmytro Kotovenko': 1, 'Chen Yuan': 1, 'Kang Zhang': 1, 'Karen Simonyan': 1, 'Melissa Terras': 1, 'Ying Zhan': 1, 'John Collomosse': 1, 'Yifan Jiang': 1, 'XiaoFeng Mi': 1, 'Jia Li': 1, 'Wei Ma': 1, 'Xiaoyu Wang': 1, 'Wei Jiang': 1, 'Tingyu Lien': 1, 'Fengquan Zhang': 1, 'Jiajia Li': 1, 'Xinming Wu': 1, 'YiChong Zeng': 1, 'Shinichi Takita': 1, 'Ian Goodfellow': 1, 'Fan Tang': 1, 'MengFeng TSAI': 1, 'Haiyan Ding': 1, 'Yuncheng Shen': 1, 'Shufang Lu': 1, 'YiNa Li': 1, 'Huaibo Huang': 1, 'SooChang Pei': 1, 'Mennatallah ElAssady': 1, 'Fenghui Yao': 1, 'Zhengkun Hu': 1, 'Haisheng Tan': 1, 'ZenChung Shih': 1, 'Tiejun Huang': 1, 'Robin Rombach': 1, 'Ning Xie': 1, 'Tao Chen': 1, 'Ching Chan': 1, 'Hui Peng': 1, 'Zhenjie Zhao': 1, 'Ming Jin': 1, 'ShenWen Huang': 1, 'De Xu': 1, 'Ye Liang': 1, 'Shaoqing Ren': 1, 'Jinhui Yu': 1, 'YuRu Lin': 1, 'Chunko Hsieh': 1, 'Zhewei Huang': 1, 'Shuqiang Jiang': 1, 'Yingqing Xu': 1, 'He Jiang': 1, 'Sheng Jin': 1, 'Songhua Liu': 1, 'Yanning Zhang': 1, 'Hui Zhang': 1, 'Jiawan Zhang': 1, 'Yun Wang': 1, 'Qingyu Meng': 1, 'Qing Wang': 1, 'Min Tang': 1, 'Alec Radford': 1, 'ChungMing Wang': 1, 'Zheng Wang': 1, 'YuChi Lai': 1, 'Yingchaojie Feng': 1, 'Tianwei Lin': 1, 'Li Haoyue': 1, 'Jiayue Li': 1, 'Bendu Bai': 1, 'Lijie Yang': 1, 'Yan Gao': 1, 'LiJie Yang': 1, 'Claire Warwick': 1, 'Jin Tang': 1, 'Rui Wang': 1, 'Fan Guo': 1, 'Ze Yun': 1, 'Hirotaka Hachiya': 1, 'Xizai Han': 1, 'Matthias Wright': 1, 'JunWei Yeh': 1, 'Xiaohui Guan': 1, 'ZhenBao Fan': 1, 'YiPing Hung': 1, 'GuoMing Luo': 1, 'Kaiyue Li': 1, 'Lingyu Liang': 1, 'Andreas Blattmann': 1, 'Guofeng Li': 1, 'Hao Liang': 1, 'Weili Shi': 1, 'Keshu Huang': 1, 'Gang Pan': 1, 'Bing Wu': 1, 'Yizhou Wang': 1, 'Dong Zhang': 1, 'Yi Zhang': 1, 'Songhua Xu': 1, 'Jing Wan': 1, 'BoAn Chen': 1, 'Wang Zheng': 1, 'Hongchuan Yu': 1, 'Weiming Dong': 1, 'Jiazhou Chen': 1, 'Tianchen Xu': 1, 'Alice Xue': 1, 'Huaming Gao': 1, 'Joseph Redmon': 1, 'Youetsu Sato': 1, 'Ergun Akleman': 1, 'Danging Zhang': 1, 'Lixing Dong': 1, 'Ningyuan Zheng': 1, 'Bin He': 1, 'Zhenhao Dong': 1, 'Guanming Lu': 1, 'KamWah Wong': 1, 'Hong Bao': 1, 'DerLor Way': 1, 'JinHui Yu': 1, 'Tianyang Shi': 1, 'Feng Gao': 1, 'Meng Li': 1, 'Wen Heng': 1, 'Jiajing Zhang': 1, 'Liang Kais': 1, 'Grace Ngai': 1, 'Hariharan Subramonyam': 1, 'Guifeng Shao': 1, 'Daxiang Li': 1, 'Zhong Gao': 1, 'LieuHen Chen': 1, 'Maria Cheng': 1, 'Priya Goyal': 1, 'Huanhuan Zhang': 1, 'Xiaofeng Mi': 1, 'Tomoyuki Nishita': 1, 'Zhengxia Zou': 1, 'Jean PougetAbadie': 1, 'Kaiming He': 1, 'Min Fan': 1, 'TianChen Xu': 1, 'Yihang Bo': 1, 'DeLor Way': 1, 'Binh Pham': 1, 'Meijun Sun': 1, 'Qingming Huang': 1}"
JianWei Zhang,"{'Yongwei Miao': 1, 'SongHai Zhang': 1, 'Shuai Yang': 1, 'Chi Liu': 1, 'Jiachuan Sheng': 1, 'Qianqian Gu': 1, 'Jengsheng Yeh': 1, 'Qing Zhang': 1, 'Qinglian Guo': 1, 'Ilya Sutskever': 1, 'Wiley Online': 1, 'Alex Krizhevsky': 1, 'TsungYi Lin': 1, 'Cristina Amati': 1, 'Human In': 1, 'Jie Xu': 1, 'Yunfei Fu': 1, 'Dmytro Kotovenko': 1, 'Chen Yuan': 1, 'Kang Zhang': 1, 'Karen Simonyan': 1, 'Melissa Terras': 1, 'Ying Zhan': 1, 'John Collomosse': 1, 'Yifan Jiang': 1, 'XiaoFeng Mi': 1, 'Jia Li': 1, 'Wei Ma': 1, 'Xiaoyu Wang': 1, 'Wei Jiang': 1, 'Tingyu Lien': 1, 'Fengquan Zhang': 1, 'Jiajia Li': 1, 'Xinming Wu': 1, 'YiChong Zeng': 1, 'Shinichi Takita': 1, 'Ian Goodfellow': 1, 'Fan Tang': 1, 'MengFeng TSAI': 1, 'Haiyan Ding': 1, 'Yuncheng Shen': 1, 'Shufang Lu': 1, 'YiNa Li': 1, 'Huaibo Huang': 1, 'SooChang Pei': 1, 'Mennatallah ElAssady': 1, 'Fenghui Yao': 1, 'Zhengkun Hu': 1, 'Haisheng Tan': 1, 'ZenChung Shih': 1, 'Tiejun Huang': 1, 'Robin Rombach': 1, 'Ning Xie': 1, 'Tao Chen': 1, 'Ching Chan': 1, 'Hui Peng': 1, 'Zhenjie Zhao': 1, 'Ming Jin': 1, 'ShenWen Huang': 1, 'De Xu': 1, 'Ye Liang': 1, 'Shaoqing Ren': 1, 'Jinhui Yu': 1, 'YuRu Lin': 1, 'Chunko Hsieh': 1, 'Zhewei Huang': 1, 'Shuqiang Jiang': 1, 'Yingqing Xu': 1, 'He Jiang': 1, 'Sheng Jin': 1, 'Songhua Liu': 1, 'Yanning Zhang': 1, 'Hui Zhang': 1, 'Jiawan Zhang': 1, 'Yun Wang': 1, 'Qingyu Meng': 1, 'Qing Wang': 1, 'Min Tang': 1, 'Alec Radford': 1, 'ChungMing Wang': 1, 'Zheng Wang': 1, 'YuChi Lai': 1, 'Yingchaojie Feng': 1, 'Tianwei Lin': 1, 'Li Haoyue': 1, 'Jiayue Li': 1, 'Bendu Bai': 1, 'Lijie Yang': 1, 'Yan Gao': 1, 'LiJie Yang': 1, 'Claire Warwick': 1, 'Jin Tang': 1, 'Rui Wang': 1, 'Fan Guo': 1, 'Ze Yun': 1, 'Hirotaka Hachiya': 1, 'Xizai Han': 1, 'Matthias Wright': 1, 'JunWei Yeh': 1, 'Xiaohui Guan': 1, 'ZhenBao Fan': 1, 'YiPing Hung': 1, 'GuoMing Luo': 1, 'Kaiyue Li': 1, 'Lingyu Liang': 1, 'Andreas Blattmann': 1, 'Guofeng Li': 1, 'Hao Liang': 1, 'Weili Shi': 1, 'Keshu Huang': 1, 'Gang Pan': 1, 'Bing Wu': 1, 'Yizhou Wang': 1, 'Dong Zhang': 1, 'Yi Zhang': 1, 'Songhua Xu': 1, 'Jing Wan': 1, 'BoAn Chen': 1, 'Wang Zheng': 1, 'Hongchuan Yu': 1, 'Weiming Dong': 1, 'Jiazhou Chen': 1, 'Tianchen Xu': 1, 'Alice Xue': 1, 'Huaming Gao': 1, 'Joseph Redmon': 1, 'Youetsu Sato': 1, 'Ergun Akleman': 1, 'Danging Zhang': 1, 'Lixing Dong': 1, 'Ningyuan Zheng': 1, 'Bin He': 1, 'Zhenhao Dong': 1, 'Guanming Lu': 1, 'KamWah Wong': 1, 'Hong Bao': 1, 'DerLor Way': 1, 'JinHui Yu': 1, 'Tianyang Shi': 1, 'Feng Gao': 1, 'Meng Li': 1, 'Wen Heng': 1, 'Jiajing Zhang': 1, 'Liang Kais': 1, 'Grace Ngai': 1, 'Hariharan Subramonyam': 1, 'Guifeng Shao': 1, 'Daxiang Li': 1, 'Zhong Gao': 1, 'LieuHen Chen': 1, 'Maria Cheng': 1, 'Priya Goyal': 1, 'Huanhuan Zhang': 1, 'Xiaofeng Mi': 1, 'Tomoyuki Nishita': 1, 'Zhengxia Zou': 1, 'Jean PougetAbadie': 1, 'Kaiming He': 1, 'Min Fan': 1, 'TianChen Xu': 1, 'Yihang Bo': 1, 'DeLor Way': 1, 'Binh Pham': 1, 'Meijun Sun': 1, 'Qingming Huang': 1}"
