Name（当前作者）,Value（该作者引用过的作者及引用次数）
Ali Mansouri,"{'GJ Simmons': 1, 'RC Laskar': 1, 'SM Selkow': 1, 'SM Hedetniemi': 1, 'WR Hare': 1, 'ST Hedetniemi': 1, 'TR Jensen': 1, 'DG Hoffman': 1, 'CA Christen': 1, 'GCE Prins': 1}"
Chang Liu,"{'XF Zhang': 1, 'PD Amer': 1, 'XM Zhu': 1, 'VWS Chan': 1, 'JY Wang': 1, 'SK Bose': 1, 'JM Chapin': 1, 'SD Zhang': 1, 'SC Nguyen': 1, 'KK Lam': 1, 'JR Iyengar': 1, 'THg Li': 1, 'JX Liao': 1, 'HK Zhang': 1}"
Fei Song,"{'XF Zhang': 1, 'PD Amer': 1, 'XM Zhu': 1, 'VWS Chan': 1, 'JY Wang': 1, 'SK Bose': 1, 'JM Chapin': 1, 'SD Zhang': 1, 'SC Nguyen': 1, 'KK Lam': 1, 'JR Iyengar': 1, 'THg Li': 1, 'JX Liao': 1, 'HK Zhang': 1}"
Huan Yan,"{'XF Zhang': 1, 'PD Amer': 1, 'XM Zhu': 1, 'VWS Chan': 1, 'JY Wang': 1, 'SK Bose': 1, 'JM Chapin': 1, 'SD Zhang': 1, 'SC Nguyen': 1, 'KK Lam': 1, 'JR Iyengar': 1, 'THg Li': 1, 'JX Liao': 1, 'HK Zhang': 1}"
Sidong Zhang,"{'XF Zhang': 1, 'PD Amer': 1, 'XM Zhu': 1, 'VWS Chan': 1, 'JY Wang': 1, 'SK Bose': 1, 'JM Chapin': 1, 'SD Zhang': 1, 'SC Nguyen': 1, 'KK Lam': 1, 'JR Iyengar': 1, 'THg Li': 1, 'JX Liao': 1, 'HK Zhang': 1}"
Oliver Kullmann,"{'Yves Crama': 1, 'SMU CFMU': 1, 'Continuing Example': 1, 'Oliver Kullmann': 1, 'Niklas Een': 1, 'Nathan Linial': 1, 'Herbert Fleischner': 1, 'Then DPvF': 1, 'ESMU CFIMU': 1, 'Stefan Szeider': 1, 'Xishun Zhao': 1, 'Gennady Davydov': 1, 'Ron Aharoni': 1, 'Inna Davydova': 1, 'Sathiamoorthy Subbarayan': 1, 'Martin Davis': 1, 'Felip Manya': 1}"
Xishun Zhao,"{'Yves Crama': 1, 'SMU CFMU': 1, 'Continuing Example': 1, 'Oliver Kullmann': 1, 'Niklas Een': 1, 'Nathan Linial': 1, 'Herbert Fleischner': 1, 'Then DPvF': 1, 'ESMU CFIMU': 1, 'Stefan Szeider': 1, 'Xishun Zhao': 1, 'Gennady Davydov': 1, 'Ron Aharoni': 1, 'Inna Davydova': 1, 'Sathiamoorthy Subbarayan': 1, 'Martin Davis': 1, 'Felip Manya': 1}"
STEFAN KIEFER,"{'HJ Hoover': 1, 'Stefan Kiefer': 1, 'EE Allender': 1, 'AS Murawski': 1}"
EL OUAKNINE,"{'HJ Hoover': 1, 'Stefan Kiefer': 1, 'EE Allender': 1, 'AS Murawski': 1, 'JY Girard': 1, 'John Fearnley': 1}"
ORN WACHTER,"{'HJ Hoover': 1, 'Stefan Kiefer': 1, 'EE Allender': 1, 'AS Murawski': 1}"
Taghi Javdani,{ 'JM Desharnais': 1}
Hazura Zulzalil,{ 'JM Desharnais': 1}
Maryam Mohammadi,"{'RB Heady': 1, 'HM Wagner': 1, 'JK Park': 1, 'EA Silver': 1, 'YC Liang': 1, 'HM Radzi': 1, 'AJ Miller': 1, 'TM Whitin': 1}"
Masine Md,"{'RB Heady': 1, 'HM Wagner': 1, 'JK Park': 1, 'EA Silver': 1, 'YC Liang': 1, 'HM Radzi': 1, 'AJ Miller': 1, 'TM Whitin': 1}"
Stephan Winkler,"{'UnaMay OReilly': 1, 'Morgan Kaufmann': 1, 'Terence Soule': 1, 'Stephan Winkler': 1, 'Gabriel Kronberger': 1, 'Riccardo Poli': 1, 'Gearoid Murphy': 1, 'Arthur Asuncion': 1, 'Sean Luke': 1}"
CATHERINE MEADOWS,"{'Adria Gascon': 1, 'Santiago Escobar': 1, 'Guillem Godoy': 1, 'HansJurgen Burckert': 1, 'Paliath Narendran': 1, 'JeanPierre Jouannaud': 1, 'Serdar Erbatur': 1, 'Francisco Claude': 1, 'Jordi Levy': 1, 'Franz Baader': 1, 'Catherine Meadows': 1, 'Kaizhong Zhang': 1, 'Alexander Herold': 1, 'OneSided Distributivity': 1, 'Andrei Voronkov': 1, 'Erik Tiden': 1, 'Gerard Tel': 1, 'Masamichi Miyazaki': 1}"
PEBBLE GAMES,"{'PEBBLE GAMES': 1, 'In PCR': 1, 'Concluding Remarks': 1, 'Consultants Bureau': 1, 'PROOF COMPLEXITY': 1, 'Pebble Games': 1}"
PROOF COMPLEXITY,"{'PEBBLE GAMES': 1, 'In PCR': 1, 'Concluding Remarks': 1, 'Consultants Bureau': 1, 'PROOF COMPLEXITY': 1, 'Pebble Games': 1}"
Apache Hadoop,{'Neil Conway': 1}
Bijan Paul,"{'OUR IMPLEMENTATION': 1, 'OUR DECISIONS': 1, 'Md Ibrahim': 1, 'CONNECTION TYPES': 1, 'Routing Protocols': 1, 'Khalid Iqbal': 1, 'Simulation Parameters': 1, 'RELATED WORK': 1, 'Bijan Paul': 1}"
Farzad Parseh,"{'Tariv Tzaban': 1, 'Peter Buneman': 1, 'Catriel Beeri': 1, 'Sophie Clluet': 1, 'Benjamin Picrce': 1, 'Limsoon Wong': 1, 'Hugh DarwenContributor': 1, 'Ashok Malhotra': 1, 'Don Chamberlin': 1, 'DFlorescu ALevy': 1, 'Val Tannen': 1, 'David Beech': 1, 'Morgan Kaufmann': 1, 'Vassilis Christophides': 1, 'Rona Machlim': 1, 'Haruio Hosoya': 1, 'Xiaofeng Meng': 1, 'Jagadish HV': 1, 'Jonathan Robie': 1, 'Francois Bancihon': 1, 'Jiaheng Lu': 1, 'Leonid Libkin': 1}"
Aamir Khan,"{'Lindasalwa Muda': 2, 'Mumtaj Begam': 2, 'FK Song': 2, 'BH Juang': 2, 'Mustafa Jamil': 2, 'IT Jolliffe': 2, 'RW Schafer': 1, 'Character Recognition': 2, 'Jianchang Mao': 2, 'LR Rabiner': 2, 'AE Rosenberg': 2, 'SB Davis': 1, 'Tom Mitchell': 1}"
Hasan Farooq,"{'Lindasalwa Muda': 1, 'Mumtaj Begam': 1, 'FK Song': 1, 'BH Juang': 1, 'Mustafa Jamil': 1, 'IT Jolliffe': 1, 'RW Schafer': 1, 'Character Recognition': 1, 'Jianchang Mao': 1, 'LR Rabiner': 1, 'AE Rosenberg': 1, 'SB Davis': 1}"
Carsten Kolassa,{'Los Alamitos': 1}
Dirk Riehle,{'Los Alamitos': 1}
