Name（当前作者）,Value（该作者引用过的作者及引用次数）
HOWARD STRAUBING,"{'Forest Algebras': 1, 'Sophie Tison': 1, 'Thomas Wilke': 1, 'Joelle Cohen': 1, 'Faron Moller': 1, 'Path Algebras': 1, 'Zoltan Esik': 1, 'Mikolaj Bojanczyk': 1, 'Formal Logic': 1, 'Pablo Barcelo': 1, 'Distributive Algebras': 1, 'Dominique Perrin': 1}"
Hemanth Tummala,"{'Al Amin': 1, 'Consent Creation': 1}"
Colorado Springs,"{'Combined Efficiency': 1, 'WC Initiatives': 1, 'Proprietary Formats': 1, 'General Discussion': 1, 'Execution Speed': 1, 'MPEG BiM': 1}"
Octavio Arriaga,{'Peter Shirley': 1}
Jichen Guo,{'Peter Shirley': 1}
Rebecca Adam,{'Peter Shirley': 1}
Sebastian Houben,{'Peter Shirley': 1}
Wireless Sensor,"{'Jagadish Kumar': 1, 'JG Ryu': 1, 'MANET Offers': 1, 'DH Jung': 1}"
Moises Diaz,"{'Hurschler Lichtsteiner': 1, 'HeadToesKneesShoulders HTKS': 1}"
Thibaut Benjamina,{'De Bruijn': 1}
Ioannis Markakisa,{'De Bruijn': 1}
Chiara Sartia,{'De Bruijn': 1}
Mayowa Akinwande,"{'Financial Planning': 1, 'JPMorgan Chase': 1, 'Personal Consumption': 1, 'Financial Education': 1, 'Full Year': 1, 'Empirical Review': 1, 'Credit Card': 1}"
Alexander Lopez,"{'Financial Planning': 1, 'JPMorgan Chase': 1, 'Personal Consumption': 1, 'Financial Education': 1, 'Full Year': 1, 'Empirical Review': 1, 'Credit Card': 1}"
Tobi Yusuf,"{'Financial Planning': 1, 'JPMorgan Chase': 1, 'Personal Consumption': 1, 'Financial Education': 1, 'Full Year': 1, 'Empirical Review': 1, 'Credit Card': 1}"
Victor Bulatov,{'Murzintcev Nikita': 1}
Vasiliy Alekseev,{'Murzintcev Nikita': 1}
Amr Alkhatib,{'Natesan Ramamurthy': 1}
Henrik Bostr?m,{'Natesan Ramamurthy': 1}
Walid Berrouk,"{'YS Fan': 1, 'SV Hashemian': 1, 'Sofiane Chemaa': 1, 'MC Zhou': 1, 'PC Xiong': 1, 'Allaoua Chaoui': 1, 'Hamid Harroud': 1, 'Yousra Chtouki': 1, 'Raida Elmansouri': 1}"
Ouanes Aissaoui,"{'YS Fan': 1, 'SV Hashemian': 1, 'Sofiane Chemaa': 1, 'MC Zhou': 1, 'PC Xiong': 1, 'Allaoua Chaoui': 1, 'Hamid Harroud': 1, 'Yousra Chtouki': 1, 'Raida Elmansouri': 1}"
Robert Atkeya,"{'Agda Developers': 1, 'In BV': 1, 'Since ChuA': 1}"
Wen Kokke,"{'Agda Developers': 1, 'In BV': 1, 'Since ChuA': 1}"
Adrita Barua,{'Ability Scores': 1}
Cara Widmer,{'Ability Scores': 1}
Pascal Hitzler,{'Ability Scores': 1}
Martina Baiardi,"{'Proceedings Lec': 1, 'Woodworking Ma': 1}"
Samuele Burattini,"{'Proceedings Lec': 1, 'Woodworking Ma': 1}"
Fatemeh Davami,"{'MH Yang': 1, 'Ch KwangTing': 1, 'WB Larbi': 1, 'RL Hsu': 1, 'SL Phung': 1, 'AK Jain': 1, 'HR Shayegh': 1, 'MA Akhloufi': 1}"
Lucia Anit,"{'Fort Lauderdale': 1, 'PMLR Jul': 1, 'Curran Associates': 1}"
Hugo Sousa,{ 'DD Jan': 1}
BENEDIKT BOLLIG,"{'JP Katoen': 1, 'TracesC Lzero': 1}"
PETER HABERMEHL,"{'Th Schwentick': 1, 'JP Katoen': 1}"
MARTIN LEUCKER,"{'Th Schwentick': 1, 'JP Katoen': 1}"
RENATO ACAMPORA,"{'ECS In': 1, 'Morgan Kaufmann': 1, 'Given Aa': 1, 'Let ME': 1}"
LUCA GEATTI,"{'ECS In': 1, 'Morgan Kaufmann': 1, 'Given Aa': 1, 'Let ME': 1}"
Maciej Baczmanski,{'Unlike YOLOP': 1}
Mateusz Wasala,{'Unlike YOLOP': 1}
ARNAUD SANGNIER,"{'Existential Fragment': 1, 'Schloss Dagstuhl': 1, 'FirstOrder Logic': 1, 'Consider Figure': 1}"
Colonel Roche,"{'HE Sturgis': 1, 'JC Shepherdson': 1, 'PO Ribet': 1}"
UNAS GUTKOVAS,{'Johannes Borgstrom': 1}
JOACHIM PARROW,{'Johannes Borgstrom': 1}
ORN VICTOR,{'Johannes Borgstrom': 1}
TU Dresden,"{'Surajit Chaudhuri': 1, 'Michael Garey': 1, 'Cynthia Loten': 1, 'Stefan Kratsch': 1, 'Manuel Bodirsky': 1, 'Nikhil Bansal': 1, 'Meghyn Bienvenu': 1, 'Alexandra Meliou': 1, 'Caterina Viola': 1, 'Serge Abiteboul': 1, 'Antoine Mottet': 1, 'Vladimir Kolmogorov': 1, 'Andrei Krokhin': 1, 'Libor Barto': 1, 'Marcin Kozik': 1, 'Saharon Shelah': 1, 'Florent Madelaine': 1, 'Avrim Blum': 1, 'Gregory Cherlin': 1, 'Richard Hull': 1, 'Neha Makhija': 1, 'By Lemma': 1, 'Marek Cygan': 1, 'Michael Pinsker': 1, 'Wolfgang Gatterbauer': 1, 'Cibele Freire': 1, 'Opt However': 1, 'Peter Fulla': 1, 'Diego Calvanese': 1}"
WENHAO TANG,"{'Patrick Thomson': 1, 'Algebraic Effects': 1, 'Scoped Effects': 1, 'Term Syntax': 1, 'Operational Semantics': 1, 'Generalized Forwarding': 1}"
Andrew Bolt,"{'PE Danielsson': 1, 'Timber Bureau': 1}"
Conrad Sanderson,"{'PE Danielsson': 1, 'Timber Bureau': 1}"
Carolyn Huston,"{'PE Danielsson': 1, 'Timber Bureau': 1}"
Petra Kuhnert,"{'PE Danielsson': 1, 'Timber Bureau': 1}"
LORA BAILEY,"{'Ben Raphael': 1, 'Haixu Tang': 1, 'Julia Mixtacki': 1, 'Toby Flint': 1, 'Pascal Koiran': 1, 'Pedro Feijao': 1, 'Erin Hanna': 1, 'Eric Allender': 1, 'John Kececioglu': 1, 'Guillaume Fertin': 1, 'Anne Bergeron': 1, 'Yu Lin': 1, 'Oliver Attie': 1, 'Maurice Jansen': 1, 'Let AG': 1, 'Mingfu Shao': 1, 'By Corollary': 1, 'Rasmus Nielsen': 1, 'Chunfang Zheng': 1, 'Rick Durrett': 1, 'Eliot Bixby': 1, 'Zheng Fu': 1, 'Xin Chen': 1, 'Joshua Cooper': 1, 'Bret Larget': 1, 'Jakkarin Suksawatchon': 1, 'Aaron Darling': 1, 'Aniket Mane': 1, 'Magnus Steinby': 1, 'Istvan Miklos': 1, 'Peter Gartland': 1, 'William Hesse': 1, 'Liqing Zhang': 1, 'Eric Tannier': 1, 'Guanqun Shi': 1, 'Zhaoshi Jiang': 1, 'Sophia Yancopoulos': 1, 'Anthony Labarre': 1, 'Jie Zheng': 1, 'Yasmine Ajana': 1, 'Lefebvre JeanFrancois': 1, 'NP For': 1, 'Sridhar Hannenhalli': 1, 'Lora Bailey': 1, 'Paul Medvedev': 1}"
GARNER COCHRAN,"{'Ben Raphael': 1, 'Haixu Tang': 1, 'Julia Mixtacki': 1, 'Toby Flint': 1, 'Pascal Koiran': 1, 'Pedro Feijao': 1, 'Erin Hanna': 1, 'Eric Allender': 1, 'John Kececioglu': 1, 'Guillaume Fertin': 1, 'Anne Bergeron': 1, 'Yu Lin': 1, 'Oliver Attie': 1, 'Maurice Jansen': 1, 'Let AG': 1, 'Mingfu Shao': 1, 'By Corollary': 1, 'Rasmus Nielsen': 1, 'Chunfang Zheng': 1, 'Rick Durrett': 1, 'Eliot Bixby': 1, 'Zheng Fu': 1, 'Xin Chen': 1, 'Joshua Cooper': 1, 'Bret Larget': 1, 'Jakkarin Suksawatchon': 1, 'Aaron Darling': 1, 'Aniket Mane': 1, 'Magnus Steinby': 1, 'Istvan Miklos': 1, 'Peter Gartland': 1, 'William Hesse': 1, 'Liqing Zhang': 1, 'Eric Tannier': 1, 'Guanqun Shi': 1, 'Zhaoshi Jiang': 1, 'Sophia Yancopoulos': 1, 'Anthony Labarre': 1, 'Jie Zheng': 1, 'Yasmine Ajana': 1, 'Lefebvre JeanFrancois': 1, 'Sridhar Hannenhalli': 1, 'Lora Bailey': 1, 'Paul Medvedev': 1}"
NATHAN FOX,"{'Ben Raphael': 1, 'Haixu Tang': 1, 'Julia Mixtacki': 1, 'Toby Flint': 1, 'Pascal Koiran': 1, 'Pedro Feijao': 1, 'Erin Hanna': 1, 'Eric Allender': 1, 'John Kececioglu': 1, 'Guillaume Fertin': 1, 'Anne Bergeron': 1, 'Yu Lin': 1, 'Oliver Attie': 1, 'Maurice Jansen': 1, 'Let AG': 1, 'Mingfu Shao': 1, 'By Corollary': 1, 'Rasmus Nielsen': 1, 'Chunfang Zheng': 1, 'Rick Durrett': 1, 'Eliot Bixby': 1, 'Zheng Fu': 1, 'Xin Chen': 1, 'Joshua Cooper': 1, 'Bret Larget': 1, 'Jakkarin Suksawatchon': 1, 'Aaron Darling': 1, 'Aniket Mane': 1, 'Magnus Steinby': 1, 'Istvan Miklos': 1, 'Peter Gartland': 1, 'William Hesse': 1, 'Liqing Zhang': 1, 'Eric Tannier': 1, 'Guanqun Shi': 1, 'Zhaoshi Jiang': 1, 'Sophia Yancopoulos': 1, 'Anthony Labarre': 1, 'Jie Zheng': 1, 'Yasmine Ajana': 1, 'Lefebvre JeanFrancois': 1, 'NP For': 1, 'Sridhar Hannenhalli': 1, 'Lora Bailey': 1, 'Paul Medvedev': 1}"
MICHAEL LEVET,"{'Ben Raphael': 1, 'Haixu Tang': 1, 'Julia Mixtacki': 1, 'Toby Flint': 1, 'Pascal Koiran': 1, 'Pedro Feijao': 1, 'Erin Hanna': 1, 'Eric Allender': 1, 'John Kececioglu': 1, 'Guillaume Fertin': 1, 'Anne Bergeron': 1, 'Yu Lin': 1, 'Oliver Attie': 1, 'Maurice Jansen': 1, 'Let AG': 1, 'Mingfu Shao': 1, 'By Corollary': 1, 'Rasmus Nielsen': 1, 'Chunfang Zheng': 1, 'Rick Durrett': 1, 'Eliot Bixby': 1, 'Zheng Fu': 1, 'Xin Chen': 1, 'Joshua Cooper': 1, 'Bret Larget': 1, 'Jakkarin Suksawatchon': 1, 'Aaron Darling': 1, 'Aniket Mane': 1, 'Magnus Steinby': 1, 'Istvan Miklos': 1, 'Peter Gartland': 1, 'William Hesse': 1, 'Liqing Zhang': 1, 'Eric Tannier': 1, 'Guanqun Shi': 1, 'Zhaoshi Jiang': 1, 'Sophia Yancopoulos': 1, 'Anthony Labarre': 1, 'Jie Zheng': 1, 'Yasmine Ajana': 1, 'Lefebvre JeanFrancois': 1, 'NP For': 1, 'Sridhar Hannenhalli': 1, 'Lora Bailey': 1, 'Paul Medvedev': 1}"
Richi Nayak,"{'Fronzetti Colladon': 1, 'Fronzetti Colladonid': 1, 'Palgrave Macmillan': 1}"
Gareth Knapman,"{'Fronzetti Colladon': 1, 'Fronzetti Colladonid': 1, 'Palgrave Macmillan': 1}"
Paul Turnbull,"{'Fronzetti Colladon': 1, 'Fronzetti Colladonid': 1, 'Palgrave Macmillan': 1}"
Cressida Fforde,"{'Fronzetti Colladon': 1, 'Fronzetti Colladonid': 1, 'Palgrave Macmillan': 1}"
Robust Private,"{'Brett Hemenway': 1, 'Rafail Ostrovsky': 1, 'Amos Beimel': 1, 'Jonathan Katz': 1, 'Alan Guo': 1, 'Peter Gemmell': 1, 'From Table': 1, 'USENIX Association': 1, 'Madhu Sudan': 1, 'Sergey Yekhanin': 1}"
BRETT MCLEAN,{'Poschel BP': 1}
Samson Abramskya,"{'Stefan Milius': 1, 'Yoav Montacute': 1, 'Andre Joyal': 1, 'Samson Abramsky': 1, 'Chase Ford': 1, 'Anuj Dawar': 1, 'Luca Reggio': 1, 'Jeremy Dubut': 1, 'Mogens Nielsen': 1}"
Nihil Shahc,"{'Stefan Milius': 1, 'Yoav Montacute': 1, 'Andre Joyal': 1, 'Samson Abramsky': 1, 'Chase Ford': 1, 'Anuj Dawar': 1, 'Luca Reggio': 1, 'Jeremy Dubut': 1, 'Mogens Nielsen': 1}"
Waseem Akram,"{'Qingmin Shi': 1, 'Prosenjit Gupta': 1, 'Ravi Janardan': 1, 'Peyman Afshani': 1, 'Herbert Edelsbrunner': 1}"
Sanjeev Saxena,"{'Qingmin Shi': 1, 'Prosenjit Gupta': 1, 'Ravi Janardan': 1, 'Peyman Afshani': 1, 'Herbert Edelsbrunner': 1}"
RADU MARDARE,"{'Claudio Hermida': 1, 'Schloss Dagstuhl': 1, 'Since PMet': 1, 'Vignudelli MSV': 1, 'By Proposition': 1}"
Dylan Marinho,"{'LNCS Taipei': 1, 'LNCS Copen': 1, 'LNCS Philadelphia': 1, 'LNCS Lyngby': 1, 'LNCS Prague': 1, 'LNCS Pasadena': 1, 'LNCS Aarhus': 1, 'LNCS Porto': 1, 'LNCS Limassol': 1, 'LNCS Vienna': 1, 'LNCS Paris': 1}"
Yacine Amara,{'Pascal Muller': 1}
Yasmine Daheur,{'Pascal Muller': 1}
Lamia Saichi,{'Pascal Muller': 1}
JULIEN LANGE,"{'USENIX Association': 1, 'Jovanka Pantovic': 1, 'Peter Hofner': 1, 'Consider TG': 1, 'Marco Carbone': 2, 'Mario Bravetti': 1}"
IVAN DRECUN,{'Ross McBride': 1}
Sandro Bardelli,"{'Egon Brunswik': 1, 'Charles Dodge': 1, 'Sara Lenzi': 1, 'SJ Lilly': 1, 'Gael Dubus': 1, 'Bruce Walker': 1, 'Roberto Barbera': 1, 'John Dunn': 1, 'Oded BenTal': 1, 'April Jubett': 1, 'Paul Lunn': 1, 'IGI Global': 1, 'Florbela Pereira': 1, 'Federico Avanzini': 1, 'Giorgio Presti': 1, 'Mark Ballora': 1, 'Dragan Ahmetovic': 1, 'Gregory Kramer': 1, 'Ethan Brown': 1, 'Andrea Polli': 1, 'Salvatore Avanzo': 1, 'Michelle Daniels': 1, 'Stephen Barrass': 1}"
Claudia Ferretti,"{'Egon Brunswik': 1, 'Charles Dodge': 1, 'Sara Lenzi': 1, 'SJ Lilly': 1, 'Gael Dubus': 1, 'Bruce Walker': 1, 'Roberto Barbera': 1, 'John Dunn': 1, 'Oded BenTal': 1, 'April Jubett': 1, 'Paul Lunn': 1, 'IGI Global': 1, 'Florbela Pereira': 1, 'Federico Avanzini': 1, 'Giorgio Presti': 1, 'Mark Ballora': 1, 'Dragan Ahmetovic': 1, 'Gregory Kramer': 1, 'Ethan Brown': 1, 'Andrea Polli': 1, 'Salvatore Avanzo': 1, 'Michelle Daniels': 1, 'Stephen Barrass': 1}"
IVAN LANESE,"{'Concluding Remarks': 1, 'Message Se': 1, 'Josep Carmona': 1, 'Choreography Automata': 1, 'Deciding CUI': 1, 'Since AX': 1, 'Communication Properties': 1}"
Alain Andres,"{'Nicolas Bougie': 1, 'Yannis FletBerliac': 1, 'Jonathan Ho': 1, 'Filip Wolski': 1, 'Arthur Aubret': 1, 'Chelsea Finn': 1, 'Marcin Andrychowicz': 1, 'Grigorescu Curiosity': 1, 'Harrison Edwards': 1, 'Tianjun Zhang': 1, 'David Szepesvari': 1, 'Julian Schrittwieser': 1, 'Matteo Hessel': 1, 'Huazhe Xu': 1, 'Marc Bellemare': 1, 'Ingmar Kanitscheider': 1, 'Anton Raichuk': 1, 'Pablo Sprechmann': 1, 'Yuri Burda': 1, 'Harri Edwards': 1, 'John Schulman': 1, 'Andres Campero': 1, 'Zhenwei Zhu': 1, 'Joseph Modayil': 1, 'Hubert Soyer': 1, 'Bowen Baker': 1, 'Deepak Pathak': 1, 'Pulkit Agrawal': 1, 'Haoran Tang': 1, 'Rein Houthooft': 1, 'David Silver': 1, 'Sriram Srinivasan': 1, 'Andreas Holzinger': 1, 'William Fedus': 1, 'Sergey Levine': 1, 'Roberta Raileanu': 1, 'Manu Orsini': 1, 'Xiao Jing': 1, 'Wenye Ma': 1, 'Lasse Espeholt': 1, 'Daochen Zha': 1, 'Johan Ferret': 1}"
Benedikt Ahrens,"{'KU Leuven': 1, 'Local Substitution': 1, 'Comprehension Structure': 1, 'Comprehension Bicategories': 1, 'USA AAI': 1, 'Basic Rules': 1, 'Global Substitution': 1, 'Substitution Structure': 1}"
IAN CASSAR,"{'Transducer Optimality': 1, 'Schloss Dagstuhl': 1}"
ALAIN FINKEL,"{'Schloss Dagstuhl': 1, 'FMP Let': 1, 'TracesC Lzero': 1, 'OutputBounded Problems': 1, 'Prateek Karandikar': 1, 'Since ATS': 1, 'By Prop': 1}"
Scienze Pure,{'Time Reversibility': 1}
Andrea Asperti,"{'Andrea Asperti': 1, 'Kasper Brink': 1, 'Josef Urban': 1, 'Makarius Wenzel': 1, 'Wilmer Ricciotti': 1, 'Jesse Alama': 1, 'Yves Bertot': 1}"
Wilmer Ricciotti,"{'Andrea Asperti': 1, 'Kasper Brink': 1, 'Josef Urban': 1, 'Makarius Wenzel': 1, 'Wilmer Ricciotti': 1, 'Jesse Alama': 1, 'Yves Bertot': 1}"
Simo Alami,"{'Sander Dieleman': 1, 'Kunjin Chen': 1, 'Anthony Faustine': 1, 'Manish Marwah': 1, 'Hengxu Zhang': 1, 'Michele Valenti': 1, 'Gautam Shah': 1, 'Chaoyun Zhang': 1, 'Benjamin Lindemann': 1, 'Hyungsul Kim': 1, 'Yuanmeng Zhang': 1, 'Ziyue Jia': 1, 'Qin Wang': 1, 'Lukas Mauch': 1, 'Huijuan Shao': 1, 'Xiaohan Shi': 1, 'Olaf Ronneberger': 1, 'Stephen Makonin': 1, 'Yi Luo': 1, 'Alon Harell': 1, 'Zhang Shuichang': 1, 'Rene Vidal': 1, 'Timo Müller': 1, 'Andrea Felicetti': 1, 'Colin Lea': 1, 'WS Ng': 1, 'Berkan Kadioglu': 1, 'Mingjun Zhong': 1, 'Sunil Semwal': 1, 'Guanghua Yang': 1, 'Iosif Mporas': 1, 'Linfeng Yang': 1, 'Michael Horgan': 1, 'Shuqi Qin': 1, 'Jing Li': 1, 'Jack Kelly': 1, 'Angela Fan': 1, 'Liang Yu': 1, 'Emanuele Principi': 1, 'Lucas Pereira': 1}"
Jérémie Decock,"{'Sander Dieleman': 1, 'Kunjin Chen': 1, 'Anthony Faustine': 1, 'Manish Marwah': 1, 'Hengxu Zhang': 1, 'Michele Valenti': 1, 'Gautam Shah': 1, 'Chaoyun Zhang': 1, 'Benjamin Lindemann': 1, 'Hyungsul Kim': 1, 'Yuanmeng Zhang': 1, 'Ziyue Jia': 1, 'Qin Wang': 1, 'Lukas Mauch': 1, 'Huijuan Shao': 1, 'Xiaohan Shi': 1, 'Olaf Ronneberger': 1, 'Stephen Makonin': 1, 'Yi Luo': 1, 'Alon Harell': 1, 'Zhang Shuichang': 1, 'Rene Vidal': 1, 'Timo Müller': 1, 'Andrea Felicetti': 1, 'Colin Lea': 1, 'WS Ng': 1, 'Berkan Kadioglu': 1, 'Mingjun Zhong': 1, 'Sunil Semwal': 1, 'Guanghua Yang': 1, 'Iosif Mporas': 1, 'Linfeng Yang': 1, 'Michael Horgan': 1, 'Shuqi Qin': 1, 'Jing Li': 1, 'Jack Kelly': 1, 'Angela Fan': 1, 'Liang Yu': 1, 'Emanuele Principi': 1, 'Lucas Pereira': 1}"
Timothée Goubault,{'Rigeti Computing': 1}
Marc Baboulin,{'Rigeti Computing': 1}
ABSORBING SUBALGEBRAS,"{'CYCLIC TERMS': 1, 'Marcin Kozik': 1, 'Petar Markovic': 1}"
Ehud Aharoni,{'Santa Clara': 1}
Moran Baruch,{'Santa Clara': 1}
Pradip Bose,{'Santa Clara': 1}
JAKOB PIRIBAUER,{'Joachim Klein': 1}
MARIO BRAVETTI,"{'Formal Se': 1, 'Mario Bravetti': 1, 'Marco Carbone': 1}"
DARIUSZ BIERNACKI,"{'With Lemma': 1, 'By Lemma': 1, 'Luke Maurer': 1, 'Operational Correspondence': 1, 'Upto Techniques': 2, 'Diacritical Progress': 1, 'Symbolic Compu': 3, 'Contextual Equivalence': 1, 'Symbolic Computation': 1, 'CK Hur': 2, 'PL Curien': 1, 'Schloss Dagstuhl': 1, 'Following Madiot': 1, 'In Example': 1}"
George Barmpalias,"{'VA Uspensky': 1, 'Elvira Mayordomo': 1, 'Dimension Extractors': 1, 'BYa Ryabko': 1}"
Alexander Shen,"{'VA Uspensky': 1, 'Elvira Mayordomo': 1, 'Dimension Extractors': 1, 'BYa Ryabko': 1}"
ANTONIO CASARES,"{'Graph UB': 1, 'By Lemma': 1, 'In Lemmas': 1, 'Schloss Dagstuhl': 1, 'In Section': 1}"
Ameen Alkasem,"{'Gewei Zhang': 1, 'Yusha Wang': 1, 'Yuanshun Dai': 1, 'Renjie Zhang': 1, 'Yanping Xiang': 1, 'Vitaly Levashenko': 1, 'Maki Matandiko': 1}"
Hongwei Liu,"{'Gewei Zhang': 1, 'Yusha Wang': 1, 'Yuanshun Dai': 1, 'Renjie Zhang': 1, 'Yanping Xiang': 1, 'Vitaly Levashenko': 1, 'Maki Matandiko': 1}"
Zuo Decheng,"{'Gewei Zhang': 1, 'Yusha Wang': 1, 'Yuanshun Dai': 1, 'Renjie Zhang': 1, 'Yanping Xiang': 1, 'Vitaly Levashenko': 1, 'Maki Matandiko': 1}"
Yao Zhao,"{'Gewei Zhang': 1, 'Yusha Wang': 1, 'Yuanshun Dai': 1, 'Renjie Zhang': 1, 'Yanping Xiang': 1, 'Vitaly Levashenko': 1, 'Maki Matandiko': 1}"
Lyndon Benke,{'De Weerd': 1}
Penny Sweetser,{'De Weerd': 1}
Alexandru Baltag,"{ 'DJ Moore': 1, 'EG Beltrametti': 1, 'RI Goldblatt': 1}"
Sonja Smets,"{ 'DJ Moore': 1, 'EG Beltrametti': 1, 'RI Goldblatt': 1}"
Louise Bloch,"{'Curran Asso': 1, 'Van Rossum': 1, 'Berlin Heidelberg': 1}"
Cartesian Bicategories,{'De Gruyter': 1}
HUGO BAZILLE,"{'Robust Skolem': 1, 'Massers Torus': 1}"
Tamas Bisztray,"{'European Parliament': 1, 'Kush Wadhwa': 1, 'David Wright': 1}"
Nils Gruschka,"{'European Parliament': 1, 'Kush Wadhwa': 1, 'David Wright': 1}"
Bob Harper,{'Yoram Hirshfeld': 1}
JASMIN BLANCHETTE,"{'William Kaufmann': 2, 'Predicate Elimination': 1, 'AI Commun': 1, 'Morgan Kaufmann': 2, 'For DPE': 1, 'HiddenLiteralBased Elimination': 1, 'Hence JLKI': 1, 'Aart Middeldorp': 1}"
Fuzzy Logic,"{'Radial Basis': 1, 'Sameem AK': 1, 'HD CHENG': 1, 'Karla HORSCH': 1, 'RF CHANG': 1, 'WJ WU': 1}"
PAUL GASTIN,"{'Conrado Daws': 1, 'EventClock Automata': 1, 'Paul Gastin': 2, 'Raphael Meyer': 1, 'Alexandre David': 1, 'Margherita Napoli': 1, 'Parthasarathy Madhusudan': 1, 'Piotr Hofman': 1, 'Wojciech Czerwinski': 1, 'Aiswarya Cyriac': 1, 'Gerd Behrmann': 1, 'Rajeev Alur': 1, 'Lakshmi Manasa': 1, 'Lorenzo Clemente': 1, 'Ahmed Bouajjani': 1, 'Rachid Echahed': 1}"
MAURIZIO MURGIA,"{'By Lemma': 1, 'Claudio Hermida': 1, 'Schloss Dagstuhl': 1}"
Nikolay Babakov,"{'New Orleans': 1, 'Ann Arbor': 1, 'Punta Cana': 1}"
David Dale,"{'New Orleans': 1, 'Ann Arbor': 1, 'Punta Cana': 1}"
Varvara Logacheva,"{'New Orleans': 1, 'Ann Arbor': 1, 'Punta Cana': 1}"
Irina Krotova,"{'New Orleans': 1, 'Ann Arbor': 1, 'Punta Cana': 1}"
ECILIA PRADIC,{'Fritz Henglein': 1}
Hoare Logic,"{'Quantum Information': 1, 'Quantum Logic': 1, 'RI Goldblatt': 1, 'Quantum Computation': 1}"
Arturo Acuaviva,"{'By Lemma': 1, 'If Smin': 1, 'Business Media': 1, 'IOP Publishing': 1, 'DmDDm Typically': 1, 'ProcesiRazmyslovFormanek Pro': 1, 'If Mmin': 1}"
Visu Makam,"{'By Lemma': 1, 'If Smin': 1, 'Business Media': 1, 'IOP Publishing': 1, 'DmDDm Typically': 1, 'ProcesiRazmyslovFormanek Pro': 1, 'If Mmin': 1}"
Harold Nieuwboer,"{'By Lemma': 1, 'If Smin': 1, 'Business Media': 1, 'IOP Publishing': 1, 'DmDDm Typically': 1, 'ProcesiRazmyslovFormanek Pro': 1, 'If Mmin': 1}"
Friedrich Sittner,"{'By Lemma': 1, 'If Smin': 1, 'Business Media': 1, 'IOP Publishing': 1, 'DmDDm Typically': 1, 'ProcesiRazmyslovFormanek Pro': 1, 'If Mmin': 1}"
AHMET SENCAN,"{'Schloss Dagstuhl': 1, 'Experimental Evaluation': 1}"
Hayashi Ani,"{'Austin Luchsinger': 1, 'Jose BalanzaMartinez': 1, 'Vaclav Koubek': 1, 'Dylan Hendrickson': 1, 'Isaac Grosof': 1}"
Erik Demaine,"{'Austin Luchsinger': 1, 'Jose BalanzaMartinez': 1, 'Vaclav Koubek': 1, 'Dylan Hendrickson': 1, 'Isaac Grosof': 1}"
Jenny Diomidova,"{'Austin Luchsinger': 1, 'Jose BalanzaMartinez': 1, 'Vaclav Koubek': 1, 'Dylan Hendrickson': 1, 'Isaac Grosof': 1}"
Dylan Hendrickson,"{'Austin Luchsinger': 1, 'Jose BalanzaMartinez': 1, 'Vaclav Koubek': 1, 'Dylan Hendrickson': 1, 'Isaac Grosof': 1}"
Jayson Lynch,"{'Austin Luchsinger': 1, 'Jose BalanzaMartinez': 1, 'Vaclav Koubek': 1, 'Dylan Hendrickson': 1, 'Isaac Grosof': 1}"
Cubical MTT,{'Ranald Clouston': 1}
Hugo AlcarazHerrera,{'Miguel Antonio': 1}
John Cartlidge,{'Miguel Antonio': 1}
Alexandre Alcoforado,"{'MingWei Chang': 1, 'Yuhong Guo': 1, 'Yunyi Zhang': 1, 'Jingqing Zhang': 1, 'Guru Guruganesh': 1, 'Amanpreet Singh': 1, 'Benjamin Mann': 1, 'Eric Mack': 1, 'Xin Li': 1, 'Livy Real': 1, 'Adina Williams': 1, 'Jacob Devlin': 1, 'Wenpeng Yin': 1, 'Lysandre Debut': 1, 'Alexandre Alcoforado': 1, 'Erick Fonseca': 1, 'Manzil Zaheer': 1, 'Jamaal Hay': 1, 'Yu Meng': 1, 'Alex Wang': 1, 'Piyawat Lertvittayakumjorn': 1, 'Victor Sanh': 1, 'Lukas Lange': 1, 'Yangfeng Ji': 1, 'Nikita Nangia': 1, 'Ashish Vaswani': 1}"
Rodrigo Gerber,"{'MingWei Chang': 1, 'Yuhong Guo': 1, 'Yunyi Zhang': 1, 'Jingqing Zhang': 1, 'Guru Guruganesh': 1, 'Amanpreet Singh': 1, 'Benjamin Mann': 1, 'Eric Mack': 1, 'Xin Li': 1, 'Livy Real': 1, 'Adina Williams': 1, 'Jacob Devlin': 1, 'Wenpeng Yin': 1, 'Lysandre Debut': 1, 'Alexandre Alcoforado': 1, 'Erick Fonseca': 1, 'Manzil Zaheer': 1, 'Jamaal Hay': 1, 'Yu Meng': 1, 'Alex Wang': 1, 'Piyawat Lertvittayakumjorn': 1, 'Victor Sanh': 1, 'Lukas Lange': 1, 'Yangfeng Ji': 1, 'Nikita Nangia': 1, 'Ashish Vaswani': 1}"
