Name（当前作者）,Value（该作者引用过的作者及引用次数）
ORG ENDRULLIS,"{'GD Plotkin': 1, 'Th Coquand': 1, 'Clocked LevyLongo': 1, 'Periodic Terms': 1, 'HP Barendregt': 2, 'Indeed Informa': 1, 'Atomic Clocks': 1, 'Berarducci Trees': 1, 'Consistency Problems': 1, 'JW Klop': 3, 'Concluding Remarks': 1, 'Infinitary Confluence': 1, 'Oos Here': 1, 'Reconsider Figure': 1, 'Schloss DagstuhlLeibniz': 1, 'Schloss Dagstuhl': 3, 'Star Games': 1, 'Courier Corporation': 1, 'JR Kennaway': 1, 'Tobias Nipkow': 1}"
DIMITRI HENDRIKS,"{'GD Plotkin': 1, 'Th Coquand': 1, 'Clocked LevyLongo': 1, 'Periodic Terms': 1, 'HP Barendregt': 2, 'Indeed Informa': 1, 'Atomic Clocks': 1, 'Berarducci Trees': 1, 'Consistency Problems': 1, 'JW Klop': 3, 'Concluding Remarks': 1, 'Infinitary Confluence': 1, 'Oos Here': 1, 'Reconsider Figure': 1, 'Schloss DagstuhlLeibniz': 1, 'JR Kennaway': 1, 'Schloss Dagstuhl': 1, 'Tobias Nipkow': 1}"
Viktor Kuncak,{'In Gopalakrishnan': 1}
Alonzo Church,"{'Martin Otto': 1, 'Witold Charatonik': 1, 'Phokion Kolaitis': 1, 'Mikolaj Bojanczyk': 1, 'Erich Gradel': 1, 'Wieslaw Szwast': 1, 'Thomas Schwentick': 1, 'Kousha Etessami': 1, 'Leszek Pacholski': 1, 'Claire David': 1, 'Emanuel Kieronski': 1, 'Amaldev Manuel': 1, 'New Haven': 1, 'Schloss DagstuhlLeibniz': 1, 'Jakub Michaliszyn': 1}"
Alan Turing,"{'Martin Otto': 1, 'Witold Charatonik': 1, 'Phokion Kolaitis': 1, 'Mikolaj Bojanczyk': 1, 'Erich Gradel': 1, 'Wieslaw Szwast': 1, 'Thomas Schwentick': 1, 'Kousha Etessami': 1, 'Leszek Pacholski': 1, 'Claire David': 1, 'Emanuel Kieronski': 1, 'Amaldev Manuel': 1, 'New Haven': 1, 'Schloss DagstuhlLeibniz': 1, 'Jakub Michaliszyn': 1}"
AND PROPS,"{'Dan Marsden': 1, 'Bart Jacobs': 1, 'Chris Heunen': 1, 'Ekaterina Komendantskaya': 1, 'John Power': 1, 'Tarmo Uustalu': 1, 'Brandon Coya': 1, 'Bob Coecke': 1, 'Brendan Fong': 1, 'Robert Rosebrugh': 1, 'Paolo Rapisarda': 1, 'Revised Selected': 1, 'Ichiro Hasuo': 1, 'Guy McCusker': 1}"
Heiko Niedermayer,{'In Example': 1}
Christoph Molnar,"{'Curran Associates': 1, 'In Fig': 1, 'Morgan Kaufmann': 1}"
Bernd Bischl,"{'Curran Associates': 1, 'In Fig': 1, 'CFI Section': 1, 'While PFI': 1}"
Alexander Gavruskin,"{'MJ Katz': 1, 'JK Lenstra': 1}"
Mikhail Kokho,"{'MJ Katz': 1, 'JK Lenstra': 1}"
Jiamou Liu,"{'MJ Katz': 1, 'JK Lenstra': 1}"
RASMUS IBSENJENSEN,"{'Michael Benedikt': 1, 'Rasmus IbsenJensen': 1, 'Krishnendu Chatterjee': 1, 'Laurent Doyen': 1}"
Kwetishe Danjuma,"{'CM Chu': 1, 'WC Chien': 1}"
Adenike Osofisan,"{'CM Chu': 1, 'WC Chien': 1}"
Hannah Grace,"{'Jian Pei': 1, 'MN Murty': 1, 'Shyam Diwakar': 1, 'Micheline Kamber': 1, 'Pankaj Jajoo': 1, 'George Karypis': 1, 'Anna Huang': 1, 'Ying Zhao': 1, 'Jiawei Han': 1, 'AK Jain': 1}"
Kalyani Desikan,"{'Jian Pei': 1, 'MN Murty': 1, 'Shyam Diwakar': 1, 'Micheline Kamber': 1, 'Pankaj Jajoo': 1, 'George Karypis': 1, 'Anna Huang': 1, 'Ying Zhao': 1, 'Jiawei Han': 1, 'AK Jain': 1}"
ERIC VOGELS,"{'Jan Smans': 1, 'Gijs Vanspauwen': 1, 'Semiconcrete Execution': 1, 'Michael Butler': 1, 'Consumption Locality': 1, 'Bart Jacobs': 1, 'Gerwin Klein': 1, 'Kevin Elphinstone': 1, 'Symbolic Execution': 1, 'Consuming Assertions': 1, 'Outcomes Satisfaction': 1, 'Jesper Bengtson': 1, 'Robert Dockins': 1, 'Eyad Alkassar': 1, 'Producing Assertions': 1, 'Cristina David': 1, 'Wolfgang Paul': 1, 'Concrete Execution': 1, 'Wolfgang Ahrendt': 1, 'Markus Dahlweid': 1, 'Ernie Cohen': 1, 'Peter OHearn': 1, 'Peter Muller': 1, 'Frederic Vogels': 1, 'Josh Berdine': 1, 'Marieke Huisman': 1, 'Andrei Paskevich': 1, 'Adam Chlipala': 1, 'Bernhard Beckert': 1, 'Wolfram Schulte': 1, 'WeiNgan Chin': 1, 'Logical Consequence': 1, 'Production First': 1, 'Byron Cook': 1}"
BART JACOBS,"{'Jan Smans': 1, 'Gijs Vanspauwen': 1, 'Semiconcrete Execution': 1, 'Michael Butler': 1, 'Consumption Locality': 1, 'Bart Jacobs': 1, 'Gerwin Klein': 1, 'Kevin Elphinstone': 1, 'Symbolic Execution': 1, 'Consuming Assertions': 1, 'Outcomes Satisfaction': 1, 'Jesper Bengtson': 1, 'Robert Dockins': 1, 'Eyad Alkassar': 1, 'Producing Assertions': 1, 'Cristina David': 1, 'Wolfgang Paul': 1, 'Concrete Execution': 1, 'Wolfgang Ahrendt': 1, 'Markus Dahlweid': 1, 'Ernie Cohen': 1, 'Peter OHearn': 1, 'Peter Muller': 1, 'Frederic Vogels': 1, 'Josh Berdine': 1, 'Marieke Huisman': 1, 'Andrei Paskevich': 1, 'Adam Chlipala': 1, 'Bernhard Beckert': 1, 'Wolfram Schulte': 1, 'WeiNgan Chin': 1, 'Logical Consequence': 1, 'Production First': 1, 'Byron Cook': 1}"
DANIEL KR,"{'Successorinvariant FO': 1, 'In DMTCS': 1}"
JOHANNES EBBING,"{'Samson Abramsky': 1, 'Erich Grdel': 1, 'Johannes Ebbing': 1, 'Juha Kontinen': 1, 'Arnaud Durand': 1, 'Jaakko Hintikka': 1, 'Proceedings Symposium': 1}"
JUHA KONTINEN,"{'Samson Abramsky': 1, 'Erich Grdel': 1, 'Johannes Ebbing': 1, 'Juha Kontinen': 1, 'Arnaud Durand': 1, 'Jaakko Hintikka': 1, 'Proceedings Symposium': 1}"
Eric Goubault,"{'GL Cattani': 1, 'RM Shortt': 1}"
Samuel Mimram,"{'GL Cattani': 1, 'RM Shortt': 1}"
Ontario MS,"{'In Chapters': 1, 'Carsten Damm': 1, 'Let FC': 1}"
PIERRE CHAMBART,"{'Each Si': 1, 'Completeness Finkel': 1, 'Controlled Good': 1, 'Lossy Minsky': 1, 'JF Raskin': 1, 'MF Atig': 1, 'Undecidable Cases': 1}"
ALAIN FINKEL,"{'Each Si': 1, 'Completeness Finkel': 1, 'Controlled Good': 1, 'Lossy Minsky': 1, 'JF Raskin': 1, 'MF Atig': 1, 'Undecidable Cases': 1, 'Frank Drewes': 1, 'Pierre Ganty': 1, 'Nadia Busi': 1, 'Sebastien Bardin': 1, 'Ahmed Bouajjani': 1, 'Marius Bozga': 1, 'Benedikt Bollig': 1, 'Bernard Boigelot': 1, 'Thierry Jeron': 1, 'Daniel Brand': 1, 'Alain Finkel': 1, 'In Ssync': 1, 'Stephane Demri': 1, 'Aurore CollombAnnichini': 1, 'Amit Dhar': 1, 'Aurore Annichini': 1, 'Gerard Cece': 1, 'Patrice Godefroid': 1, 'Julien Lange': 1, 'Blaise Genest': 1, 'Peter Habermehl': 1, 'Radu Iosif': 1, 'Javier Esparza': 1, 'Zakaria Bouziane': 1, 'Dietrich Kuske': 1, 'Roberto Gorrieri': 1}"
EndUser Architecting,"{'Joel Brandt': 1, 'Hong Yan': 1, 'Robin Abraham': 1, 'Frank Buschmann': 1, 'Bertram Ludascher': 1, 'Home Automation': 1, 'Bridget Spitznagel': 1, 'Yolanda Gil': 1, 'JQ Ma': 1, 'Bradley Schmerl': 1, 'Choonhwa Lee': 1, 'Jonathan Aldrich': 1, 'Allen Cypher': 1, 'Paul Clements': 1, 'DE Rex': 1, 'James Howison': 1, 'Ewa Deelman': 1, 'Felix Bachmann': 1, 'Mary Shaw': 1, 'Gurmeet Singh': 1, 'Regine Meunier': 1, 'Andrew Kompanek': 1, 'David Garlan': 1, 'Ilkay Altintas': 1, 'Portia Crowe': 1, 'EndUser Architecting': 1, 'Vishal Dwivedi': 1, 'Nenad Medvidovic': 1, 'Louis Bavoil': 1, 'Ying Zhao': 1, 'Rick Kazman': 1, 'Varun Ratnakar': 1, 'Ferdinando Villa': 1}"
Peteris Paikens,"{'Fillmore CJ': 1, 'Murray WR': 1, 'Chalmers Uni': 1, 'Baker CF': 1, 'Johnson CR': 1, 'Fuchs NE': 1}"
Alaa ElDin,"{'System Administrator': 1, 'Rabih Zbib': 1, 'Kenneth Heafiel': 1, 'Spyros Matsoukas': 1, 'FUTURE WORK': 1, 'Ibrahim Badr': 1}"
WITH TESTS,"{'Termcontexts DLM': 1, 'JW Klop': 1, 'PL Curien': 1}"
PABLO BARCEL,"{'MH Lob': 1, 'By Claim': 1}"
ALEXANDER FUCHS,{'Amit Goel': 1}
AMIT GOEL,{'Amit Goel': 1}
JIM GRUNDY,{'Amit Goel': 1}
SAVA KRSTI,{'Amit Goel': 1}
MONIKA HENZINGER,"{'EA Emerson': 1, 'PJ Ramadge': 1}"
Tom HIRSCHOWITZ,"{'Mogens Nielsen': 1, 'HJ Kreowski': 1, 'Dale Miller': 1, 'Aurelio Carboni': 1, 'Saunders MacLane': 1, 'Arend Rensink': 1, 'Yves Guiraud': 1, 'Daniele Turi': 1, 'Vladimiro Sassone': 1, 'Andre Hirschowitz': 1, 'Reiko Heckel': 1, 'Ed Brinksma': 1, 'Fabio Gadducci': 1, 'Olivier Delande': 1, 'Marco Maggesi': 1, 'Tom Hirschowitz': 1, 'Robin Milner': 1, 'Andre Joyal': 1, 'Julian Rathke': 1}"
Damien POUS,"{'Mogens Nielsen': 1, 'HJ Kreowski': 1, 'Dale Miller': 1, 'Aurelio Carboni': 1, 'Saunders MacLane': 1, 'Arend Rensink': 1, 'Yves Guiraud': 1, 'Daniele Turi': 1, 'Vladimiro Sassone': 1, 'Andre Hirschowitz': 1, 'Reiko Heckel': 1, 'Ed Brinksma': 1, 'Fabio Gadducci': 1, 'Olivier Delande': 1, 'Marco Maggesi': 1, 'Tom Hirschowitz': 1, 'Robin Milner': 1, 'Andre Joyal': 1, 'Julian Rathke': 1}"
Abir ELMIR,"{'Dietz JL': 1, 'ISOIEC IS': 1, 'Scheer AW': 1, 'Hultink EJ': 1}"
Badr ELMIR,"{'Dietz JL': 1, 'ISOIEC IS': 1, 'Scheer AW': 1, 'Hultink EJ': 1}"
Bouchaib BOUNABAT,"{'Dietz JL': 1, 'ISOIEC IS': 1, 'Scheer AW': 1, 'Hultink EJ': 1}"
MARTIN GROHE,"{'HD Ebbinghaus': 2, 'PG Kolaitis': 1, 'EFP FORes': 1, 'BoundedWidth Resolution': 1, 'CFI Gn': 1, 'Logical Interpretations': 1, 'FPC FOmonPCk': 1, 'Expander Graphs': 1}"
Barbara Petit,"{'In Addstr': 1, 'GD Callbyname': 1}"
Boutaina Chakir,"{'SH Chang': 1, 'SD Kim': 1, 'NC Narendra': 1, 'XML Schema': 1}"
Mounia Fredj,"{'SH Chang': 1, 'SD Kim': 1, 'NC Narendra': 1, 'XML Schema': 1}"
Mahmoud Nassar,"{'SH Chang': 1, 'SD Kim': 1, 'NC Narendra': 1, 'XML Schema': 1, 'ContextAware Aspect': 1, 'Adaptation Tool': 1, 'Dockhorn Costa': 1, 'Context Processing': 1, 'Context Retrieval': 1, 'Services Adaptation': 1, 'Context Ontology': 1, 'User Device': 1}"
Link Quality,"{'Protocol Overview': 1, 'AODV Overview': 1, 'JP Joseph': 1, 'MK Feraoun': 1, 'Iwao Sasase': 1, 'SH Boukli': 1, 'Related Works': 1, 'Performance Results': 1}"
Bounded Treewidth,"{'MG Everett': 1, 'Ch Chekuri': 1, 'WS Massey': 1, 'MY Vardi': 1, 'PG Kolaitis': 1, 'HL Bodlaender': 1, 'EC Freuder': 1, 'MR Fellows': 1, 'JA Telle': 1, 'FS Roberts': 1}"
Bounded Degree,"{'MG Everett': 1, 'Ch Chekuri': 1, 'WS Massey': 1, 'MY Vardi': 1, 'PG Kolaitis': 1, 'HL Bodlaender': 1, 'EC Freuder': 1, 'MR Fellows': 1, 'JA Telle': 1, 'FS Roberts': 1}"
SANJEEV GANGWAR,"{'Rahul Jain': 1, 'Prince Samar': 1, 'HMCOP Heuristic': 1, 'Ashwani Kush': 1, 'JS Liu': 1, 'Anuj Puri': 1, 'Sunil Taneja': 1, 'GAMAN Genetic': 1, 'RELATED WORKS': 1, 'AUTHORS PROFILE': 1, 'CC Ooi': 1}"
SAURABH PAL,"{'Rahul Jain': 1, 'Prince Samar': 1, 'HMCOP Heuristic': 1, 'Ashwani Kush': 1, 'JS Liu': 1, 'Anuj Puri': 1, 'Sunil Taneja': 1, 'GAMAN Genetic': 1, 'RELATED WORKS': 1, 'AUTHORS PROFILE': 1, 'CC Ooi': 1}"
KRISHAN KUMAR,"{'Rahul Jain': 1, 'Prince Samar': 1, 'HMCOP Heuristic': 1, 'Ashwani Kush': 1, 'JS Liu': 1, 'Anuj Puri': 1, 'Sunil Taneja': 1, 'GAMAN Genetic': 1, 'RELATED WORKS': 1, 'AUTHORS PROFILE': 1, 'CC Ooi': 1}"
Paris Diderot,"{'Diana Fischer': 1, 'Patricia Bouyer': 1, 'Lukasz Kaiser': 1, 'Rajeev Alur': 1, 'Vladimeros Vladimerou': 1, 'Marco Faella': 1, 'Erich Gradel': 1, 'Pavithra Prabhakar': 1, 'PeiHsin Ho': 1, 'Dietmar Berwanger': 1, 'Thomas Gawlitza': 1, 'Benjamin Horowitz': 1, 'Annabelle McIver': 1, 'Hugo Gimbert': 1, 'Costas Courcoubetis': 1, 'Thomas Brihaye': 1}"
ANDREA CERONE,"{'Lucia Gallina': 1, 'Dimitrios Kouzapas': 1, 'Xavier Nicollin': 1, 'Ivan Lanese': 1, 'CR Ramakrishnan': 1, 'Extensional Semantics': 1, 'Mengying Wang': 1, 'Massimo Merro': 1, 'Johannes Borgstrom': 1, 'Andrea Cerone': 1, 'JCM Baeten': 1, 'Francesco Ballardin': 1, 'Raja Jurdak': 1, 'Sebastian Nanz': 1, 'Davide Sangiorgi': 1, 'Julian Rathke': 1, 'Michele Bugliesi': 1, 'Shuqin Huang': 1}"
NILS GESBERT,"{'Shared Types': 1, 'If ACS': 1, 'Related Work': 1, 'Replacement If': 1, 'If BCe': 1}"
AND VASCO,"{'Shared Types': 1, 'If ACS': 1, 'Related Work': 1, 'Replacement If': 1, 'If BCe': 1}"
Wojciech Mazurczyk,{'Virus Bulletin': 1}
Krzysztof Szczypiorski,{'Virus Bulletin': 1}
Andrzej Kulig,"{'MH Christiansen': 1, 'MP Paulus': 1, 'SS Melnyk': 1, 'AN Pavlov': 1, 'ZK Zhang': 1, 'MEJ Newman': 1, 'MH Jensen': 1, 'JM Hausdorff': 1, 'CK Peng': 1, 'TC Halsey': 1, 'SK Baek': 1, 'SA Zschiegner': 1, 'MA Montemurro': 1, 'RV Solé': 1, 'CG NevillManning': 1, 'PA Pury': 1, 'JW Kantelhardt': 1}"
Jean Cousty,{'Ravi Kiran': 1}
Laurent Najman,{'Ravi Kiran': 1}
Yukiko Kenmochi,{'Ravi Kiran': 1}
Mikko Vehkaper,"{'KK Wong': 1, 'CK Wen': 1, 'SC Lin': 1, 'PH Lin': 1}"
Sylvain Gravier,"{'Adrian Keet': 1, 'Laszlo Lovasz': 1, 'Wolfgang Dur': 1, 'Mio Murao': 1, 'Robert Prevedel': 1, 'Damian Markham': 1, 'Sandi Klavzar': 1, 'Mehdi Mhalla': 1, 'Isaac Chuang': 1, 'Akimasa Miyake': 1, 'Dirk Schlingemann': 1, 'Elham Kashe': 1, 'Klaus Sutner': 1, 'Keqin Feng': 1, 'Robert Raussendorf': 1, 'Salman Beigi': 1, 'Ben Fortescue': 1, 'Marc Hein': 1}"
Mehdi Mhalla,"{'Adrian Keet': 1, 'Laszlo Lovasz': 1, 'Wolfgang Dur': 1, 'Mio Murao': 1, 'Robert Prevedel': 1, 'Damian Markham': 1, 'Sandi Klavzar': 1, 'Mehdi Mhalla': 1, 'Isaac Chuang': 1, 'Akimasa Miyake': 1, 'Dirk Schlingemann': 1, 'Elham Kashe': 1, 'Klaus Sutner': 1, 'Keqin Feng': 1, 'Robert Raussendorf': 1, 'Salman Beigi': 1, 'Ben Fortescue': 1, 'Marc Hein': 1}"
Simon Perdrix,"{'Adrian Keet': 1, 'Laszlo Lovasz': 1, 'Wolfgang Dur': 1, 'Mio Murao': 1, 'Robert Prevedel': 1, 'Damian Markham': 1, 'Sandi Klavzar': 1, 'Mehdi Mhalla': 1, 'Isaac Chuang': 1, 'Akimasa Miyake': 1, 'Dirk Schlingemann': 1, 'Elham Kashe': 1, 'Klaus Sutner': 1, 'Keqin Feng': 1, 'Robert Raussendorf': 1, 'Salman Beigi': 1, 'Ben Fortescue': 1, 'Marc Hein': 1}"
Marek Chrobak,{'SH Huang': 1}
Mordecai Golin,{'SH Huang': 1}
Ian Munro,{'SH Huang': 1}
Abdelhakim Herrouz,"{'Browsing Help': 1, 'Hightower RR': 1, 'Ring LT': 1, 'Comparative Study': 1, 'Yan TW': 1}"
Chabane Khentout,"{'Browsing Help': 1, 'Hightower RR': 1, 'Ring LT': 1, 'Comparative Study': 1, 'Yan TW': 1}"
Mahieddine Djoudi,"{'Browsing Help': 1, 'Hightower RR': 1, 'Ring LT': 1, 'Comparative Study': 1, 'Yan TW': 1}"
PIERREMALO DENI,"{'Recursive Functions': 1, 'JY Girard': 1, 'Subject Congruence': 1, 'PM Denielou': 1}"
ANDI BEJLERI,"{'Recursive Functions': 1, 'JY Girard': 1, 'Subject Congruence': 1, 'PM Denielou': 1}"
For Streett,"{'Patrick Hutten': 1, 'Fabio Mogavero': 1, 'Nico Wallmeier': 1, 'Wolfgang Thomas': 1, 'Tomas Brazdil': 1, 'Andrzej Tarlecki': 1, 'Roderick Bloem': 1, 'Thomas Colcombet': 1, 'Nir Piterman': 1, 'Line Juhl': 1, 'Krishnendu Chatterjee': 1, 'Nathanael Fijalkow': 1, 'Stefan Dziembowski': 1, 'Piotr Sankowski': 1, 'Marcin Jurdzinski': 1, 'Derick Wood': 1, 'Uli Fahrenberg': 1, 'Florian Horn': 1, 'Daniel Neider': 1, 'Cyril Gavoille': 1}"
GORDON HOI,"{'Ming Li': 1, 'Webb Miller': 1, 'Santiago Figueira': 1, 'Martin Kummer': 1, 'Rod Downey': 1, 'Per MartinLof': 1, 'Frank Stephan': 1, 'Hartley Rogers': 1}"
FRANK STEPHAN,"{'Ming Li': 1, 'Webb Miller': 1, 'Santiago Figueira': 1, 'Martin Kummer': 1, 'Rod Downey': 1, 'Per MartinLof': 1, 'Frank Stephan': 1, 'Hartley Rogers': 1}"
SHIGUANG FENG,"{'Santiago Figueira': 1, 'Bernd Finkbeiner': 1, 'Shiguang Feng': 1, 'Diego Figueira': 1, 'Daniel Bundala': 1, 'Raymond Greenlaw': 1, 'Sylvain Schmitz': 1, 'Eric Allender': 1, 'Lars Kuhtz': 1, 'Kousha Etessami': 1, 'Ranko Lazic': 1, 'Stéphane Demri': 1, 'William Hesse': 1, 'Patricia Bouyer': 1, 'Sanjeev Arora': 1, 'Claudia Carapelle': 1, 'Stefan G?ller': 1, 'Stephan Kreutzer': 1, 'Markus Lohrey': 1, 'Oded Maler': 1, 'Nicolas Markey': 1, 'Rajeev Alur': 1, 'Christoph Haase': 1}"
MARKUS LOHREY,"{'Santiago Figueira': 1, 'Bernd Finkbeiner': 1, 'Shiguang Feng': 1, 'Diego Figueira': 1, 'Daniel Bundala': 1, 'Raymond Greenlaw': 1, 'Sylvain Schmitz': 1, 'Eric Allender': 1, 'Lars Kuhtz': 1, 'Kousha Etessami': 1, 'Ranko Lazic': 1, 'Stéphane Demri': 1, 'William Hesse': 1, 'Patricia Bouyer': 1, 'Sanjeev Arora': 1, 'Claudia Carapelle': 1, 'Stefan G?ller': 1, 'Stephan Kreutzer': 1, 'Markus Lohrey': 1, 'Oded Maler': 1, 'Nicolas Markey': 1, 'Rajeev Alur': 1, 'Christoph Haase': 1}"
Abeer Ghandar,"{'TJ Giuli': 1, 'MK Rafsanjani': 1, 'SS Rizvi': 1, 'JL Rana': 1, 'MH Mamoun': 1, 'KM Elleithy': 1}"
Eman Shabaan,"{'TJ Giuli': 1, 'MK Rafsanjani': 1, 'SS Rizvi': 1, 'JL Rana': 1, 'MH Mamoun': 1, 'KM Elleithy': 1}"
Zaky Fayed,"{'TJ Giuli': 1, 'MK Rafsanjani': 1, 'SS Rizvi': 1, 'JL Rana': 1, 'MH Mamoun': 1, 'KM Elleithy': 1}"
Nicolas Delfosse,"{'MA Nielsen': 1, 'MA MartinDelgado': 1, 'Larry Guth': 1, 'DA Meyer': 1, 'AR Calderbank': 1, 'PW Shor': 1, 'MH Freedman': 1, 'JP Tillich': 1}"
Zhentao Li,"{'MA Nielsen': 1, 'MA MartinDelgado': 1, 'Larry Guth': 1, 'DA Meyer': 1, 'AR Calderbank': 1, 'PW Shor': 1, 'MH Freedman': 1, 'JP Tillich': 1}"
Jay Gholap,"{'Fast Effective': 1, 'Hall MA': 1}"
AFSHIN AMIGHI,"{'Separation Logic': 1, 'Class Thread': 1, 'Class List': 1, 'Related Work': 1, 'Partial Correctness': 1, 'Join Next': 1}"
CHRISTIAN HAACK,"{'Separation Logic': 1, 'Class Thread': 1, 'Class List': 1, 'Related Work': 1, 'Partial Correctness': 1, 'Join Next': 1}"
MARIEKE HUISMAN,"{'Separation Logic': 1, 'Class Thread': 1, 'Class List': 1, 'Related Work': 1, 'Partial Correctness': 1, 'Join Next': 1}"
EMENT HURLIN,"{'Separation Logic': 1, 'Class Thread': 1, 'Class List': 1, 'Related Work': 1, 'Partial Correctness': 1, 'Join Next': 1}"
Abhijit Chowdhury,{'Bruce Schneier': 1}
Saurabh Dutta,{'Bruce Schneier': 1}
ENS Cachan,"{'Achim Jung': 1, 'Anca Muscholl': 1}"
Emilio Ferrara,"{'De Meo': 1, 'Gomez Rodriguez': 1}"
Zayao Yang,"{'De Meo': 1, 'Gomez Rodriguez': 1}"
RAFFAELLA GENTILINI,"{'MP Beal': 1, 'Functionality Problem': 1, 'Realizability Problem': 1, 'Determinizability Problem': 1, 'Verification Problems': 1, 'Let AQ': 1}"
AND JEANFRANC,"{'MP Beal': 1, 'Functionality Problem': 1, 'Realizability Problem': 1, 'Determinizability Problem': 1, 'Verification Problems': 1, 'Let AQ': 1}"
OIS RASKIN,"{'MP Beal': 1, 'Functionality Problem': 1, 'Realizability Problem': 1, 'Determinizability Problem': 1, 'Verification Problems': 1, 'Let AQ': 1}"
NTT Corporation,"{'Ashwin Nayak': 1, 'Troy Lee': 1, 'By Lemmas': 1, 'Harry Buhrman': 1, 'Frederic Magniez': 1, 'Aleksandrs Belovs': 1, 'Robin Kothari': 1, 'Robert Beals': 1, 'Christoph Durr': 1, 'Stacey Jeffery': 1, 'Svante Janson': 1, 'Miklos Santha': 1}"
Rizwan Beg,"{'KC Fan': 1, 'MT Goodrich': 1, 'ME Yüksel': 1, 'RH Chan': 1, 'Xiahua Yang': 1, 'Alper Bastürk': 1, 'Video Processing': 1, 'WL Lee': 1, 'JL Chen': 1, 'ChihLung Lin': 1, 'TC Lin': 1, 'JM Lloyd': 1, 'SQ Yuan': 1, 'AI Bovik': 1, 'DC Harris': 1, 'GL Sicuranza': 1, 'JY Chang': 1, 'ChihWei Kuo': 1, 'VV Khryashchev': 1, 'YH Tan': 1, 'HR Wu': 1, 'HL Eng': 1, 'KK Ma': 1, 'Experimental Results': 1, 'SK Mitra': 1, 'IV Apalkov': 1, 'YV Guljaev': 1, 'MA Karim': 1, 'MS Alam': 1, 'EF Godik': 1}"
ULI FAHRENBERG,"{'Dimitra Giannakopoulou': 1, 'Tingting Han': 1, 'Axel Legay': 1, 'Daniel Klink': 1, 'Marsha Chechik': 1, 'Falak Sher': 1, 'Roberto Segala': 1, 'CounterExample Generation': 1, 'Ulrich Herzog': 1, 'Zohar Manna': 1, 'Nancy Lynch': 1, 'Bengt Jonsson': 1, 'Daniele Varacca': 1, 'Bettina Braitling': 1, 'Harald Fecher': 1, 'In French': 1, 'Matthias Schmalz': 1, 'Anvesh Komuravelli': 1, 'Christel Baier': 1, 'Josee Desharnais': 1, 'Holger Hermanns': 1, 'Ralf Wimmer': 1, 'If Vs': 1, 'Martin Leucker': 1, 'Bj?rn Wachter': 1, 'Compute Rk': 1, 'Andrew Hinton': 1, 'JoostPieter Katoen': 1, 'Rajeev Alur': 1, 'Husain Aljazzar': 1, 'Uli Fahrenberg': 1, 'Hans Hansson': 1, 'Mathieu Sassolas': 1, 'Vineet Gupta': 1, 'Claus Thrane': 1, 'Rohit Chadha': 1, 'Nils Jansen': 1, 'Rupak Majumdar': 1, 'By Proposition': 1, 'Paul Brunet': 1, 'Let Qn': 1, 'Eric Goubault': 1}"
Vincent Silenzio,"{'AS AbdulQuader': 1, 'Sharad Goel': 1, 'DD Heckathorn': 1, 'MS Handcock': 1}"
Randall Sell,"{'AS AbdulQuader': 1, 'Sharad Goel': 1, 'DD Heckathorn': 1, 'MS Handcock': 1}"
OLIVER FRIEDMANN,"{'Morgan Kaufmann': 1, 'MY Vardi': 1}"
MARKUS LATTE,"{'Morgan Kaufmann': 1, 'MY Vardi': 1}"
Oleg Finkoa,"{'MA Soderstrand': 1, 'SA Dichenko': 1, 'OA Finko': 1, 'WK Jenkins': 1, 'JA Hetagurov': 1}"
Sergey Dichenko,"{'MA Soderstrand': 1, 'SA Dichenko': 1, 'OA Finko': 1, 'WK Jenkins': 1, 'JA Hetagurov': 1}"
DMITRY CHISTIKOV,"{'BigO Problem': 1, 'Schneider FS': 1, 'LsW LsW': 1}"
ALESSANDRO CIMATTI,"{'An ARF': 1, 'EXPLICITSCHEDULER SYMBOLICTHREAD': 1, 'Related Work': 1, 'By Lemma': 1, 'Future Work': 1, 'Computation Sequence': 1, 'Primitive Executor': 1, 'Experimental Evaluation': 1, 'CpaChecker BK': 1, 'Independence Relation': 1}"
IMAN NARASAMDYA,"{'An ARF': 1, 'EXPLICITSCHEDULER SYMBOLICTHREAD': 1, 'Related Work': 1, 'By Lemma': 1, 'Future Work': 1, 'Computation Sequence': 1, 'Primitive Executor': 1, 'Experimental Evaluation': 1, 'CpaChecker BK': 1, 'Independence Relation': 1}"
Nguyen HoangNghia,{'Sem Lothar': 1}
Adrian Tanasa,{'Sem Lothar': 1}
Vasco Brattka,"{'Andrea Sorbi': 1, 'Benedikt Lowe': 1, 'Alexander Chagrov': 1, 'In Russian': 1, 'Mathieu Hoyrup': 1, 'Andrew Lewis': 1, 'Cristbal Rojas': 1, 'Jan ThC': 1, 'Weak Com': 1, 'Guido Gherardi': 1, 'Vasco Brattka': 1, 'Richard Shore': 1}"
Guido Gherardi,"{'Andrea Sorbi': 1, 'Benedikt Lowe': 1, 'Alexander Chagrov': 1, 'In Russian': 1, 'Mathieu Hoyrup': 1, 'Andrew Lewis': 1, 'Cristbal Rojas': 1, 'Jan ThC': 1, 'Weak Com': 1, 'Guido Gherardi': 1, 'Vasco Brattka': 1, 'Richard Shore': 1}"
Yusupjan Habibulla,{'Molnar Jr': 1}
JinHua Zhao,{'Molnar Jr': 1}
HaiJun Zhou,{'Molnar Jr': 1}
