author,h_index,total_citations,paper_count
Karel Klouda,3,34,3
Makoto Tatsuta,3,25,3
Ugo de'Liguoro,3,33,4
Mariangiola Dezani-Ciancaglini,3,177,3
Paula Severi,3,45,3
Sergey Goncharov,3,33,3
Simone Tini,3,47,3
Olivier Gauwin,3,35,3
Gabriele Puppis,3,27,3
Flavien Breuvart,3,19,3
Bernd Finkbeiner,3,36,4
Cynthia Kop,3,36,3
Karin Quaas,3,28,3
Stefan Kiefer,3,48,3
Patrick Gallinari,2,94,2
Lester Beltran,2,37,2
Andris Ambainis,2,26,2
Leonid B. Sokolinsky,2,19,2
David Callan,2,4,2
Chris McCool,2,16,2
Muhammad Marwan Muhammad Fuad,2,10,2
Daniel Langr,2,6,2
Haofu Liao,2,42,2
Marek Szyku?a,2,65,2
Sylvain Gravier,2,23,2
Jiebo Luo,2,42,2
Dimitrios Los,2,20,2
Todd Davies,2,9,2
Arnaldo Cesco,2,5,2
Roberto Gorrieri,2,5,2
Christoph Koutschan,2,93,2
Beniamino Accattoli,2,115,3
Mikael Brudfors,2,20,2
Tobias Nipkow,2,11,2
Sudarshan Nandy,2,57,2
Nadia Polikarpova,2,65,2
Partha Pratim Sarkar,2,57,2
Achintya Das,2,57,2
Bruno Grenet,2,29,2
Pascal Koiran,2,29,2
Natacha Portier,2,29,2
Ronald Hochreiter,2,12,2
Andre Diatta,2,11,2
Peter Giblin,2,11,2
Carlos Seara,2,13,2
Lukasz Kaiser,2,65,2
Dimitri Marinelli,2,32,2
John Ashburner,2,20,2
Graciela Nasini,2,14,2
Daniel Sever¨ªn,2,14,2
Daniel Karapetyan,2,24,2
Irit Dinur,2,33,2
Paola Bruscoli,2,34,2
Yuval Filmus,2,22,2
Tom Gundersen,2,102,2
Sergey Kitaev,2,18,3
Josef Cibulka,2,28,2
Viola M¨¦sz¨¢ros,2,28,2
Rudolf Stola?,2,28,2
Pavel Valtr,2,28,2
Fabien De Montgolfier,2,16,2
Micha?l Rao,2,19,2
Adam Koprowski,2,112,2
Krzysztof Zaremba,2,27,2
Yann Strozecki,2,36,2
Jarkko Kari,2,10,2
David Eppstein,2,8,2
Frederik Lerbjerg Aagaard,2,6,2
Luca Magri,2,46,2
Soham Chakraborty,2,81,2
Arthur-Jozsef Molnar,2,14,3
Jan Goedgebeur,2,12,2
Holger R. Roth,2,691,2
Jens Heidrich,2,65,3
Subhabrata Mukherjee,2,152,2
Laura Kov¨¢cs,2,5,3
Anne Broadbent,2,116,2
Pushpak Bhattacharyya,2,152,2
Zsuzsanna Lipt¨¢k,2,19,2
Luigi Santocanale,2,18,3
Andrei Voronkov,2,5,2
Natsuki Urabe,2,36,2
Mehdi Mhalla,2,24,2
Vincent Limouzy,2,17,4
Robert G. Littlejohn,2,34,2
Roderick Bloem,2,64,2
Nicole Schweikardt,2,65,3
Bartlomiej Placzek,2,6,2
Nicol¨° Navarin,2,8,2
Chuangjie Xu,2,11,2
Alessandro Sperduti,2,8,2
Petros Wallden,2,52,2
Thomas Varghese,2,26,2
Tomoyuki Morimae,2,8,2
David Wilson,2,52,2
